Authors;Article Title;Source Title;DOI;Document Type;Publication Year;Abstract;ISSN;eISSN
"Al-Alawi, Lamees; Al Shaqsi, Jamil; Tarhini, Ali; Al-Busaidi, Adil S.";Using machine learning to predict factors affecting academic performance: the case of college students on academic probation;EDUCATION AND INFORMATION TECHNOLOGIES;10.1007/s10639-023-11700-0;Article;2023;This study aims to employ the supervised machine learning algorithms to examine factors that negatively impacted academic performance among college students on probation (underperforming students). We used the Knowledge Discovery in Databases (KDD) methodology on a sample of N = 6514 college students spanning 11 years (from 2009 to 2019) provided by a major public university in Oman. We used the Information Gain (InfoGain) algorithm to select the most effective features and ensemble methods to compare the accuracy with more robust algorithms, including Logit Boost, Vote, and Bagging. The algorithms were evaluated based on the performance evaluation metrics such as accuracy, precision, recall, F-measure, and ROC curve, and then validated using 10-folds cross-validation. The study revealed that the main identified factors affecting student academic achievement include study duration in the university and previous performance in secondary school. Based on the experimental results, these features were consistently ranked as the top factors that negatively impacted academic performance. The study also indicated that gender, estimated graduation year, cohort, and academic specialization significantly contributed to whether a student was under probation. Domain experts and other students were involved in verifying some of the results. The theoretical and practical implications of this study are discussed.;1360-2357;1573-7608
"Zhang, Fang; Zhu, Shiben; Chen, Siyu; Hao, Ziyu; Fang, Yuan; Zou, Huachun; Cai, Yong; Cao, Bolin; Zhang, Kechun; Cao, He; Chen, Yaqi; Hu, Tian; Wang, Zixin";Application of machine learning for risky sexual behavior interventions among factory workers in China;FRONTIERS IN PUBLIC HEALTH;10.3389/fpubh.2023.1092018;Article;2023;"IntroductionAssessing the likelihood of engaging in high-risk sexual behavior can assist in delivering tailored educational interventions. The objective of this study was to identify the most effective algorithm and assess high-risk sexual behaviors within the last six months through the utilization of machine-learning models. MethodsThe survey conducted in the Longhua District CDC, Shenzhen, involved 2023 participants who were employees of 16 different factories. The data was collected through questionnaires administered between October 2019 and November 2019. We evaluated the model's overall predictive classification performance using the area under the curve (AUC) of the receiver operating characteristic (ROC) curve. All analyses were performed using the open-source Python version 3.9.12. ResultsAbout a quarter of the factory workers had engaged in risky sexual behavior in the past 6 months. Most of them were Han Chinese (84.53%), hukou in foreign provinces (85.12%), or rural areas (83.19%), with junior high school education (55.37%), personal monthly income between RMB3,000 (US$417.54) and RMB4,999 (US$695.76; 64.71%), and were workers (80.67%). The random forest model (RF) outperformed all other models in assessing risky sexual behavior in the past 6 months and provided acceptable performance (accuracy 78%; sensitivity 11%; specificity 98%; PPV 63%; ROC 84%). DiscussionMachine learning has aided in evaluating risky sexual behavior within the last six months. Our assessment models can be integrated into government or public health departments to guide sexual health promotion and follow-up services.";;2296-2565
"Gurefe, Nejla; Aktas, Gulfem Sarpkaya; Oksuz, Hava";Investigating the Impact of the AI-Supported 5E (AI-s5E) Instructional Model on Spatial Ability;BEHAVIORAL SCIENCES;10.3390/bs14080682;Article;2024;Improving students' spatial abilities is an important goal in education. Spatial ability is a skill needed in many fields, such as science, mathematics, engineering, and architecture. Since this ability can be improved through training, this study adopted a quasi-experimental design to investigate the effects of an artificial intelligence-supported 5E (AI-s5E) instructional model on students' spatial visualization, spatial relationships, and spatial orientation performances that explain their spatial abilities. A total of 43 students from two classes at a secondary school in western Turkey were recruited to participate in this study. One of the classes was the experimental group (f = 23), which adopted the AI-s5E approach, and the other class was the control group (f = 20), which adopted the traditional teaching model. The results showed that the integration of the AI-s5E instructional approach into education improved students' spatial abilities and sub-dimensions. In light of the findings, it can be recommended that AI applications, which have a positive and significant impact on spatial skills, can be integrated into teachers' lessons and even included in curriculum programs.;;2076-328X
"Payadnya, I. Putu Ade Andre; Putri, Gusti Ayu Made Arna; Suwija, I. Ketut; Saelee, Sompob; Jayantika, I. Gusti Agung Ngurah Trisna";Cultural integration in AI-enhanced mathematics education: insights from Southeast Asian educators;JOURNAL FOR MULTICULTURAL EDUCATION;10.1108/JME-09-2024-0119;Article;2025;PurposeArtificial intelligence (AI) is increasingly used in education, yet its cultural impact, especially in Southeast Asian mathematics education, remains underexplored. This gap is significant because understanding cultural adaptation is essential for AI tools to effectively enhance learning in diverse classrooms. This study examines how AI can be integrated into mathematics education across Southeast Asia, focusing on specific cultural practices such as communal learning styles, respect for hierarchical structures and the role of local languages, as well as educators' perspectives.Design/methodology/approachA mixed-methods approach was used, combining quantitative data from questionnaires with qualitative insights from interviews with educators across ten Southeast Asian countries. The study included 543 respondents in total with the numbers is varying in each country, targeting high school teachers experienced in using AI in teaching.FindingsThe findings revealed that educators in Singapore are most confident in AI's adaptability to cultural contexts, whereas those in Myanmar and Laos face challenges due to infrastructure limitations. Interviews highlighted the need to customize AI tools to align with students' cultural backgrounds, including language preferences and traditional learning practices, for effective implementation. Teacher training and access to technology, especially in rural areas, were also identified as critical factors.Originality/valueThis study addresses a critical gap in understanding AI's cultural implications in Southeast Asia, providing insights into how cultural values, language and educational practices influence the integration of AI in mathematics education. The findings highlight the need for culturally responsive AI tools and targeted improvements in infrastructure and teacher training for successful implementation.;2053-535X;
"Wang, Deliang; Shan, Dapeng; Ju, Ran; Kao, Ben; Zhang, Chenwei; Chen, Gaowei";Investigating dialogic interaction in K12 online one-on-one mathematics tutoring using AI and sequence mining techniques;EDUCATION AND INFORMATION TECHNOLOGIES;10.1007/s10639-024-13195-9;"Article; Early Access";2024;Online one-on-one tutoring serves as a supplementary approach to traditional classroom instruction. It has been shown to enhance personalized learning and academic performance. However, the dynamics of dialogic interactions within this educational setting are not fully understood. Thus, we present a computational analysis of dialogic interactions in online one-on-one mathematics tutoring. Specifically, we devised a coding scheme tailored to online tutoring sessions and leveraged advanced artificial intelligence techniques to construct an automated model for annotating dialog acts. We then investigated the basic characteristics and interaction patterns in a dataset encompassing online one-on-one tutoring dialogs within K-12 mathematics education and obtained insightful findings. First, tutors were found to often apply both didactic and other effective teaching strategies. Second, off-task chatting accounted for a significant proportion of tutoring sessions. Third, high school students exhibited greater engagement and cognitive abilities than primary and middle school students through their more active participation and superior reasoning skills. Primary school students, despite their less active participation, responded positively when engaged by tutors. The findings highlight the importance of optimizing strategies applied by tutors and students to create a more dynamic and effective learning environment and provide valuable insights into the nature of online one-on-one tutoring.;1360-2357;1573-7608
"Li, Chenyang; Chen, Fu";Impacts of ICT-related factors on students' digital reading literacy: Evidence from high-performing Asian countries and regions;EDUCATION AND INFORMATION TECHNOLOGIES;10.1007/s10639-024-12501-9;Article;2024;Digital reading literacy has emerged as a pivotal factor contributing significantly to teenagers' academic and future career successes. Few studies have focused on how ICT-related factors shape students' digital reading literacy in non-English-speaking contexts. This study explored the impacts of ICT-related home and school factors on digital reading literacy, analyzing data from four non-English-speaking Asian countries and regions participating in PISA 2018, including Hong Kong, South Korea, Macau, and Taiwan. In addition, we compared the identified influential factors between these four countries and regions, as well as with previous studies, for a comprehensive understanding of ICT-related factors of digital reading. The Random Forest model was used to rank the importance of ICT-related factors and identify the top 10 most influential factors of digital reading. The most important ICT-related home factors were parents' attitudes and participation in digital reading activities. Among ICT-related school factors, the time of ICT use in school, the subject that classes use ICT, and the number of computers were found to be negatively associated with students' digital reading literacy. However, the capacity of schools to use digital devices to improve learning and teaching was positively associated with students' digital reading literacy.;1360-2357;1573-7608
"Escolano-Perez, Elena; Losada, Jose Luis";Using artificial intelligence in education: decision tree learning results in secondary school students based on cold and hot executive functions;HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS;10.1057/s41599-024-04040-y;Article;2024;Improving educational quality is a universal concern. Despite efforts made in this regard, learning outcomes have not improved sufficiently. Therefore, further investigation is needed on this issue, adopting new perspectives (conceptual and analytical) to facilitate the understanding and design of effective actions. The objective of this study was to determine the influence of executive functions (considering both cognitive and affective processes) and their interactions on learning outcomes in Language and Literature and Mathematics in Spanish students, through the use of artificial intelligence, based on the machine learning approach, and more specifically, the decision tree technique. A total of 173 students in compulsory secondary education (12-17 years old) from the same educational institution participated. The school's educational counsellor provided information on student executive function levels by completing the BRIEF2 questionnaire for each participant. She also reported on the learning outcomes achieved by students in the subjects of interest for this research (Language and Literature and Mathematics). R software was used to model the regression trees. The results revealed groups of students characterised by different profiles, i.e., by different combinations of difficulties in various executive functions and varying levels of learning outcomes in each academic area. However, regardless of the academic area considered (Language and Literature or Mathematics), working memory was identified as the most relevant executive function in all of the students' learning outcomes. Understanding the combination of executive functions that predict learning outcomes in each group of students is important since it enables teachers and other educational professionals, policymakers and researchers to provide individualised educational resources according to the diverse student profiles and needs. It constitutes an effective mechanism to improve students' learning results and, ultimately, to enhance an equitable and more effective educational system.;;2662-9992
"Fleissner-Martin, Juliane; Bogner, Franz X.; Paul, Juergen";Digital vs. Analog Learning-Two Content-Similar Interventions and Learning Outcomes;FORESTS;10.3390/f14091807;Article;2023;"The digitization of classrooms has enormously changed teaching during the COVID-19 lockdowns. The rapid introduction of tablet classes subsequently raised questions about potential learning outputs, as only a few studies had produced quite contradicting outcomes. Consequently, our study was set up to monitor cognitive learning outcomes of conventional and digital teaching interventions by explicitly paying attention to short- and long-term knowledge retention rates. Both modules covered the very same classroom content in focusing on the curricular content of the forest ecosystem. Subjects were eighth-graders from seven Bavarian secondary schools (analog: n = 74; digital: n = 225). We analyzed the knowledge gained by applying a multiple-choice questionnaire (online, 25 items) in a pre-post-retention design. For the statistical analyses SPSS was used, and a Rasch analysis was based on the ACERQuest software (Version 2.1). The Rasch calibration of the ad hoc knowledge items assured solid scores (Rel = 0.72). Both interventions significantly increased knowledge (analog and digital: p < 0.001; Cohen's d: d(analog) = 0.59, d(digital) = 0.42) compared to the pre-test scores. Even after 6-9 weeks, there was no significant drop in the acquired knowledge scores (analog: p = 0.619; digital: p = 0.092) compared to the immediate post-test observed. Furthermore, there was no significant difference between the knowledge levels reached after both interventions. The knowledge scores showed typical learning profiles of earlier studies including its consistency even after several weeks. Since no significant differences appeared for the knowledge gain of both groups, the kind of teaching seemingly does not originate any influence independent of participation in the digital or analog module. The same seems to be valid for notebook entry options.";;1999-4907
"Huang, Siyuan; Wahlquist, Amy; Dahne, Jennifer";Individual Predictors of Response to A Behavioral Activation-Based Digital Smoking Cessation Intervention: A Machine Learning Approach;SUBSTANCE USE & MISUSE;10.1080/10826084.2024.2369155;Article;2024;Background: Depression is prevalent among individuals who smoke cigarettes and increases risk for relapse. A previous clinical trial suggests that Goal2Quit, a behavioral activation-based smoking cessation mobile app, effectively increases smoking abstinence and reduces depressive symptoms. Objective: Secondary analyses were conducted on these trial data to identify predictors of success in depression-specific digitalized cessation interventions. Methods: Adult who smoked cigarettes (age = 38.4 +/- 10.3, 53% women) were randomized to either use Goal2Quit for 12 weeks (N = 103), paired with a 2-week sample of nicotine replacement therapy (patch and lozenge) or to a Treatment-As-Usual (TAU) control (N = 47). The least absolute shrinkage and selection operator was utilized to identify a subset of baseline variables predicting either smoking or depression intervention outcomes. The retained predictors were then fitted via linear regression models to determine relations to each intervention outcome. Results: Relative to TAU, only individuals who spent significant time using Goal2Quit (56 +/- 46 min) were more likely to reduce cigarette use by at least 50% after 12 weeks, whereas those who spent minimal time using Goal2Quit (10 +/- 2 min) did not exhibit significant changes. An interaction between educational attainment and treatment group revealed that, as compared to TAU, only app users with an educational degree beyond high school exhibited significant reductions in depression. Conclusions: The findings highlight the importance of tailoring depression-specific digital cessation interventions to individuals' unique engagement needs and educational level. This study provides a potential methodological template for future research aimed at personalizing technology-based treatments for cigarette users with depressive symptoms.;1082-6084;1532-2491
"Camacho, Vicente Lopez; Guia, Elena de la; Olivares, Teresa; Flores, M. Julia; Orozco-Barbosa, Luis";Data Capture and Multimodal Learning Analytics Focused on Engagement With a New Wearable IoT Approach;IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES;10.1109/TLT.2020.2999787;Article;2020;Increasing school dropout rates are a problem in many educational systems, with student disengagement being one significant factor. Learning analytics is a new field with a key role in educational institutions in the coming years. It may help make strategic decisions to reduce student disengagement. The use of technology in educational environments has grown significantly and, with it, awareness of the importance of student engagement. We exploit tracking and wearable technologies to increase user engagement in learning processes, exploring also the area of multimodal learning analytics (MMLA). We use wearables and Internet of Things for education, an interactive and collaborative system designed to improve motivation and learning. This article presents the results obtained in different experiments conducted in a secondary school in a long-term participatory learning context. The captured data were analyzed and used to identify different students' behavior patterns, showing their progress and motivation. Subsequently, from the captured data and aiming at a decision-making phase, we used machine learning techniques and MMLA methodologies to construct models able to explain when student engagement is present, so this knowledge can later be exploited. In particular, we chose decision trees and rule systems based on a set of variables with proven relevance to the problem. The evaluation of this novel engagement classification system confirms the high performance of these variables. The rules obtained, which can be easily interpreted by a nonexpert, help the teacher to observe, analyze, and make decisions with the purpose of fostering engagement.;1939-1382;
"Iqbal, Muhammad Zahid; Campbell, Abraham G.";AGILEST approach: Using machine learning agents to facilitate kinesthetic learning in STEM education through real-time touchless hand interaction;TELEMATICS AND INFORMATICS REPORTS;10.1016/j.teler.2022.100034;Article;2023;There is an increasing interest in creating interactive learning applications using innovative interaction technologies, especially in STEM (Science, technology, engineering, and mathematics) subjects. Recent developments in machine learning have allowed for nearly perfect hand-tracking recognition, introducing a touchless modality for interaction within Augmented Reality (AR) environments. However, the research community has not explored the pedagogical approach of Kinesthetic Learning or Learning by Doing , hand tracking, and machine learning agents combined with Augmented Reality technology. Fundamentally, this exploration of touchless interaction technologies has taken on new importance in the new post-COVID world. Meanwhile, machine learning has gained attention for its ability to enhance personalized learning and play a vital new role as a virtual instructor. This paper proposes a novel approach called the AGILEST approach, which uses machine learning Agents to facilitate interactive kinesthetic learning in STEM education through touchless interaction. The first case study for this approach will be an AR learning application for chemistry. This application uses real-time touchless hand interaction for kinesthetic learning and uses a machine learning agent to act as both trainer and assessor of the user. The evaluation of this research has been conducted remotely through a usability study with expert reviewers, which includes 15 young researchers with peer-reviewed work in Human-Computer Interaction & AR and 2 subject experts STEM teachers at the secondary school level. The usability evaluation through NASA Task Load Index (NASA-TLX), Perceived Ease of Use (PUEU), and Perceived Usefulness (PU) with expert reviewers provide positive feedback about this approach for productive learning gain, engagement and interactiveness in learning STEM subjects.;;2772-5030
"Egara, Felix Oromena; Mosimege, Mogege";Exploring the Integration of Artificial Intelligence-Based ChatGPT into Mathematics Instruction: Perceptions, Challenges, and Implications for Educators;EDUCATION SCIENCES;10.3390/educsci14070742;Article;2024;This research investigates how secondary school mathematics educators in the Nsukka Education Zone, Enugu State, Nigeria, perceive the incorporation of artificial intelligence-based ChatGPT into teaching mathematics. The study employed a sequential exploratory mixed-methods strategy, starting with a systematic survey and followed by detailed interviews. The Mathematics Teachers' Awareness and Perceptions of AI-based ChatGPT Questionnaire (MTAPACQ) used in this study was adapted from an existing online survey and administered to 80 mathematics teachers, who were selected using stratified random sampling to ensure varied representation across different local government areas. The survey explored teachers' awareness, utilisation, and perceptions of ChatGPT. Following the quantitative phase, in-depth qualitative interviews were conducted with a subset of five teachers who were familiar with ChatGPT to gain deeper insights into their experiences. The findings indicate limited awareness of ChatGPT, with only 17% demonstrating familiarity with the technology. The infrequent utilisation of ChatGPT in mathematics teaching is mainly associated with this limited awareness. Teachers who integrate ChatGPT report positive outcomes, including improved teaching effectiveness, heightened student engagement, and enhanced comprehension of complex concepts. Nevertheless, the overall perceptions of the tool's impact on mathematics teaching and learning are moderate. The identified challenges in relation to integration include technical adaptability, curriculum alignment, and the need for customisation to accommodate diverse learning styles. This study emphasises the significance of continuous professional development and ongoing support for teachers to integrate AI-based ChatGPT into mathematics instruction proficiently. The insights derived from the findings hold value for educators, policymakers, and technology developers aspiring to elevate the role of artificial intelligence in mathematics education.;;2227-7102
"Weeser, Bjorn; Graf, Jan; Njue, Naomi K.; Cerutti, Paolo; Rufino, Mariana C.; Breuer, Lutz; Jacobs, Suzanne R.";Crowdsourced Water Level Monitoring in Kenya's Sondu-Miriu Basin-Who Is The Crowd?;FRONTIERS IN EARTH SCIENCE;10.3389/feart.2020.602422;Article;2021;Citizen science is gaining popularity as a way to engage people to participate in environmental projects. In addition to potential challenges regarding data quality and the choice of variables, a key factor in the success of participatory monitoring projects is the active participation of volunteers, the citizen scientists. To learn more about the motivation of citizen scientists to participate and their socio-economic background, a telephone survey was implemented with participants of a citizen science water level monitoring program in the Sondu-Miriu basin, western Kenya. We analyzed the data using descriptive statistics and random forest models to elucidate the characteristics of the participant population, underlying motivations, and the challenges and opportunities to develop recommendations for sustainable community-based water monitoring programs. As citizen scientists who engaged long-term were 30-49 years old, had primary or secondary school education and passed by the monitoring station frequently, targeting sensitization activities at people with such background could increase participation in community-based water monitoring. Sensitization meetings were key in engaging long-term volunteers, but participants indicated that continued feedback through education and communication of the project findings is required to keep volunteers motivated. The use of cellphone credit to submit data was identified as challenge for participation, highlighting the need for data submission methods that do not incur costs for the participants. Greater volunteer support could also be achieved by active involvement of the members of Water Resource Users Associations, since membership increased the likelihood of continuous engagement in water monitoring under the participants. Furthermore, many participants indicated that their motivation was to help water management and conservation, as most people rely directly on rivers for their water supply. Providing a platform to contribute to better water resources management could therefore result in direct benefits (e.g., improved water supply) for the participants, and thus an incentive to participate actively.;;2296-6463
"Araya, Roberto; Isoda, Masami; van der Molen Moris, Johan";Developing Computational Thinking Teaching Strategies to Model Pandemics and Containment Measures;INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;10.3390/ijerph182312520;Article;2021;COVID-19 has been extremely difficult to control. The lack of understanding of key aspects of pandemics has affected virus transmission. On the other hand, there is a demand to incorporate computational thinking (CT) in the curricula with applications in STEM. However, there are still no exemplars in the curriculum that apply CT to real-world problems such as controlling a pandemic or other similar global crises. In this paper, we fill this gap by proposing exemplars of CT for modeling the pandemic. We designed exemplars following the three pillars of the framework for CT from the Inclusive Mathematics for Sustainability in a Digital Economy (InMside) project by Asia-Pacific Economic Cooperation (APEC): algorithmic thinking, computational modeling, and machine learning. For each pillar, we designed a progressive sequence of activities that covers from elementary to high school. In an experimental study with elementary and middle school students from 2 schools of high vulnerability, we found that the computational modeling exemplar can be implemented by teachers and correctly understood by students. We conclude that it is feasible to introduce the exemplars at all grade levels and that this is a powerful example of Science Technology, Engineering, and Mathematics (STEM) integration that helps reflect and tackle real-world and challenging public health problems of great impact for students and their families.;;1660-4601
"Houngue, Pelagie; Hountondji, Michel; Dagba, Theophile";An Effective Decision-Making Support for Student Academic Path Selection using Machine Learning;INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS;;Article;2022;In Benin, after the GCSE (General Certificate of Secondary Education), learners can either enroll in a Technical and Vocational Education and Training (TVET), or further their studies in the general education. Majority of those who take the latter path enroll in Senior High School by choosing the Biology stream or field of study. However, most of them do not have the abilities required to succeed in this field. For instance, for the last edition of the Senior Secondary Education Certificate (French baccalaureate) held in June 2022 in Benin, the Biology field of study had a low success rate of 42%. Therefore, one may consider that there is a problem in the orientation of the students. In recent years, Machine Learning has been used in almost every field to optimize processes or to assist in decision-making. Improving academic performance has always been of general interest. And, good academic performance implies good academic orientation. The goal of this study is to optimally help learners who have just obtained their GCSE to select their field of study. For this purpose, two major elements are predicted: i) Scientific or Literary ability of students, ii) Literature or Mathematics and Physical Sciences (MPS) or Biology stream of learners. More precisely, the average marks in Mathematics, Physics and Chemistry Technology (PCT) and Biology from 6(th) to 9(th) grade for 325 students are used. Machine Learning algorithms such as Decision Tree, Random Forest, Linear Support Vector Classifier (SVC), K-Nearest Neighbors (KNN), and Logistic Regression are used to predict learners' ability and the stream. As a result, for learners' ability prediction, we obtained the best accuracy of 99% with the random forest algorithm for a split that reserved around 21% of the dataset for testing. As for the learners' stream prediction, we obtained the best accuracy of 95% with the Linear SVC algorithm for a split that reserved around 20% of the dataset for testing. This study contributes to Educational Data Mining (EDM) by performing academic data exploration using numerous methods. Furthermore, it provides a tool to ease students academic path selection, which may be used by educational institutes to ensure student performance. This paper presents the steps and the outputs of the study, we performed with some recommendations for future research.;2158-107X;2156-5570
Wang, Zhihui;Higher Education Management and Student Achievement Assessment Method Based on Clustering Algorithm;COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE;10.1155/2022/4703975;Article;2022;Monitoring and guiding instructional management require student performance evaluation. Traditional evaluation and analysis methods based on absolute scores, on the other hand, have certain flaws and are unable to fully reflect the information contained in student performance, thus limiting the impact of student performance evaluation on teaching and learning management. Data mining is regarded as the backbone technology for future information processing, and it introduces a new concept to the way humans use data. Schools must analyse and evaluate the performance of students in the same grade level and secondary school in a timely and staged manner. Clustering is a type of data mining that uses similarity rules to classify sample data into groups with a high degree of similarity. To address the difficulties caused by the wide variation in course difficulty in student performance evaluation, a method based on the K-means clustering algorithm is proposed. The K-means algorithm and the improved K-means algorithm with student information are investigated. The test results showed that the K-means clustering algorithm, the improved algorithm in this paper, and the fast global mean clustering algorithm all cluster the same randomly generated data set with noisy points, but the clustering time of the algorithm in this paper is only 0.04, which has obvious advantages. As a result, the clustering algorithm-based higher education management and student performance evaluation mechanism provides some insights for future research on student learning patterns. It is hoped that instructional administrators will gain a better understanding of students' learning characteristics so that they can better guide their teaching.;1687-5265;1687-5273
"Gkintoni, Evgenia; Antonopoulou, Hera; Sortwell, Andrew; Halkiopoulos, Constantinos";Challenging Cognitive Load Theory: The Role of Educational Neuroscience and Artificial Intelligence in Redefining Learning Efficacy;BRAIN SCIENCES;10.3390/brainsci15020203;Review;2025;Background/Objectives: This systematic review integrates Cognitive Load Theory (CLT), Educational Neuroscience (EdNeuro), Artificial Intelligence (AI), and Machine Learning (ML) to examine their combined impact on optimizing learning environments. It explores how AI-driven adaptive learning systems, informed by neurophysiological insights, enhance personalized education for K-12 students and adult learners. This study emphasizes the role of Electroencephalography (EEG), Functional Near-Infrared Spectroscopy (fNIRS), and other neurophysiological tools in assessing cognitive states and guiding AI-powered interventions to refine instructional strategies dynamically. Methods: This study reviews n = 103 papers related to the integration of principles of CLT with AI and ML in educational settings. It evaluates the progress made in neuroadaptive learning technologies, especially the real-time management of cognitive load, personalized feedback systems, and the multimodal applications of AI. Besides that, this research examines key hurdles such as data privacy, ethical concerns, algorithmic bias, and scalability issues while pinpointing best practices for robust and effective implementation. Results: The results show that AI and ML significantly improve Learning Efficacy due to managing cognitive load automatically, providing personalized instruction, and adapting learning pathways dynamically based on real-time neurophysiological data. Deep Learning models such as Convolutional Neural Networks (CNNs), Recurrent Neural Networks (RNNs), and Support Vector Machines (SVMs) improve classification accuracy, making AI-powered adaptive learning systems more efficient and scalable. Multimodal approaches enhance system robustness by mitigating signal variability and noise-related limitations by combining EEG with fMRI, Electrocardiography (ECG), and Galvanic Skin Response (GSR). Despite these advances, practical implementation challenges remain, including ethical considerations, data security risks, and accessibility disparities across learner demographics. Conclusions: AI and ML are epitomes of redefinition potentials that solid ethical frameworks, inclusive design, and scalable methodologies must inform. Future studies will be necessary for refining pre-processing techniques, expanding the variety of datasets, and advancing multimodal neuroadaptive learning for developing high-accuracy, affordable, and ethically responsible AI-driven educational systems. The future of AI-enhanced education should be inclusive, equitable, and effective across various learning populations that would surmount technological limitations and ethical dilemmas.;;2076-3425
Mgonja, Thomas;Using interpretable machine learning approaches to predict and provide explanations for student completion of remedial mathematics;EDUCATION AND INFORMATION TECHNOLOGIES;10.1007/s10639-024-12647-6;Article;2024;The successful completion of remedial mathematics is widely recognized as a crucial factor for college success. However, there is considerable concern and ongoing debate surrounding the low completion rates observed in remedial mathematics courses across various parts of the world. This study applies explainable artificial intelligence (XAI) tools to interpret predictions on whether students will complete mathematics remediation. Various machine learning models are compared, with random forest emerging as superior in predicting non-completion. Global interpretations using correlation analysis, logistic regression, feature importance, permutation importance, and SHapley Additive exPlanations (SHAP) summary plots identify significant predictors such as college grade point average (G.P.A), high school G.P.A, starting point in the remedial sequence, number of failed remedial courses, delay in remediation, Rate My Professor scores, and age. Additionally, local interpretations using Local Interpretable Model-Agnostic Explanations (LIME) and Diverse Counterfactual Explanations (DiCE) analyses were utilized to garner tailored advise for at-risk students. It was observed that instructor attributes cannot be overlooked, especially, when exploring local interpretations. Future research should consider other features such as a students' socio-economic status (SES), employment status, and placement exam scores. Future studies could also involve data from multiple institutions and examine user experience in implementing these models.;1360-2357;1573-7608
"Jing, Caihong; Zhao, Xiaoling; Ren, Haiyan; Chen, Xuexia; Gaowa, Naren";An Approach to Oral English Assessment Based on Intelligent Computing Model;SCIENTIFIC PROGRAMMING;10.1155/2022/4663574;Article;2022;English craze has become a key topic of concern to the majority of the people. Apart from setting English as a compulsory course like Chinese and Mathematics in schools, various English training institutions outside the school are also emerging one after another. Due to the English teaching mode in class, dumb English appears. In recent years, with the popularity of virtual electronic devices, more and more researchers try to use virtual reality (VR) to create an immersive English learning environment. Oral English teaching is an important part of the whole English teaching. In the traditional English classroom teaching practice, teachers' pronunciation is not standard, and students are difficult to learn the correct pronunciation standard, which makes oral English very passive. The most important problem in oral English teaching is to improve students' interest in oral English, make students willing to speak and realize English communication. Oral English teaching is an important link in both primary and secondary schools and universities. Teachers are afraid of nonstandard pronunciation in limited classrooms, and they are afraid to speak and unwilling to speak, which leads to passive oral English teaching. Therefore, this paper will set up an intelligent computing model to evaluate and analyze spoken English in a standard and accurate way. Artificial intelligence speech synthesis and imitation of voice change are typical applications of decoupling representation learning in speech, the oral evaluation is based on the proposition that speech is a dynamic and complex process. With the help of the rapidly developed computer speech synthesis and imitation technology, an oral evaluation path based on speech synthesis and imitation is proposed, that is, oral evaluation is carried out by using the network parameters and output of deep learning of computer speech imitation.;1058-9244;1875-919X
"Zhao, Fanfei; Zhang, Guanqun; Wang, Zhaoli; Hao, Xiangyu";Construction of Higher Education Management Data Analysis Model Based on Association Rules;SCIENTIFIC PROGRAMMING;10.1155/2022/5414238;Article;2022;This paper adopts the analytical method of intelligent programming to conduct in-depth research and analysis on university education management and designs a corresponding university education management model to be applied in actual teaching. Based on the basic theories and methods of big data distributed data mining and machine learning, automated machine learning, and big data programming computational methods, this paper combines the importance and technical challenges of the algorithms themselves and the background of the practical application needs of the industry and firstly selects a series of data mining and machine learning algorithms that are commonly used based on high complexity, outstanding computational efficiency problems, and difficult to design distributed algorithms. The research on efficient large-scale distributed parallelized data mining and machine learning methods and algorithms is carried out. As an innovative teaching model, the experiential teaching model focuses on the cultivation of individual students' independent learning ability and subjective initiative, which not only can effectively activate the classroom atmosphere and improve the teaching effect but also meet the requirements of classroom teaching for the development of the times. The empirical evidence of the experiential teaching model proposed in this paper is carried out, and the implementation process of the experiential teaching model of high school physics is further improved. In terms of the overall implementation effect, the experiential teaching model proposed in the paper can deepen students' understanding of concepts and physical laws, thus enabling them to solve physics problems better, and has a positive and active effect on enhancing students' learning interests and attitudes. In the case of system security, the average comprehensive index of each unit is 61.11, 22 are higher than the average index, accounting for 61.11%, 14 are lower than the average index, accounting for 38.89%, and 23 management departments' management systems passed the safety monitoring, accounting for 63.89%. At the same time, the proposed model also provides educational practitioners with a more reliable framework for instructional design, which has realistic reference value and significance.;1058-9244;1875-919X
