"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Publisher","Language of Original Document","Document Type","Publication Stage","Open Access","Source","EID"
"Tang J.; Zhou X.; Wan X.; Daley M.; Bai Z.","Tang, Jingwan (57222496863); Zhou, Xiaofei (57217589045); Wan, Xiaoyu (57217586768); Daley, Michael (57293828700); Bai, Zhen (57220554432)","57222496863; 57217589045; 57217586768; 57293828700; 57220554432","ML4STEM Professional Development Program: Enriching K-12 STEM Teaching with Machine Learning","2023","International Journal of Artificial Intelligence in Education","33","1","","185","224","39","9","10.1007/s40593-022-00292-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128216180&doi=10.1007%2fs40593-022-00292-4&partnerID=40&md5=176e01d5fcffe4cdb6685b1a64a9f8c7","The advances of machine learning (ML) in scientific discovery (SD) reveal exciting opportunities to utilize it as a cross-cutting tool for inquiry-based learning in K-12 STEM classrooms. There are, however, limited efforts on providing teachers with sufficient knowledge and skills to integrate ML into teaching. Our study addresses this gap by proposing a professional development (PD) program named ML4STEM. Based on existing research on supporting teacher learning in innovative technology integration, ML4STEM is composed of Teachers-as-Learners and Teachers-as-Designers sessions. It integrates an accessible ML learning platform designed for students with limited math and computing skills. We implemented this PD program and evaluated its effectiveness with 18 K-12 STEM teachers. Findings confirm that ML4STEM successfully develops teachers’ understanding of teaching STEM with ML as well as fosters positive attitudes toward applying the ML as an in-class teaching technology. Discussions on the implications of our findings from ML4STEM are provided for future PD researchers and designers. © 2022, International Artificial Intelligence in Education Society.","K-12 STEM teaching; Machine learning; ML4STEM; Professional development program","Cutting tools; Professional aspects; Students; Cross-cutting; Innovative technology; Inquiry-based learning; K-12 STEM teaching; Machine-learning; ML4STEM; Professional development programme; Scientific discovery; Teacher learning; Teachers'; Machine learning","Springer","English","Article","Final","","Scopus","2-s2.0-85128216180"
"Guardieiro V.; Raimundo M.M.; Poco J.","Guardieiro, Vitoria (58102042800); Raimundo, Marcos M. (57200421924); Poco, Jorge (55595552600)","58102042800; 57200421924; 55595552600","Analyzing the Equity of the Brazilian National High School Exam by Validating the Item Response Theory’s Invariance","2022","Proceedings of the 15th International Conference on Educational Data Mining, EDM 2022","","","","","","","0","10.5281/zenodo.6852946","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174809648&doi=10.5281%2fzenodo.6852946&partnerID=40&md5=06c13131d50a76f79af5faa92a8e0f87","Several studies adopt different approaches to examining how economic, racial, and gender circumstances influence student performance in large-scale entrance exams, such as the National High School Exam (ENEM). Using a methodology based on Item Response Theory, ENEM’s exam attempts to assess, for each item (question), the curve (function) that relates the participants’ abilities to their probabilities of correctly answering the item, which is assumed to hold whichever subgroup, a fundamental premise of IRT called invariance. This work analyzes whether the ENEM 2019 test presented similar curves for subpopulations defined by gender, race, and income, regardless of the participant’s actual abilities. Our approach is to analyze the properties of the observed curve for each group and then perform a nonparametric ranking test to compare the equity of each item (question) for each analyzed characteristic. We found that the”Languages and Codes” questions consistently favored male, white, and high-income participants. At the same time, the other three sets of questions (Mathematics, Natural Sciences, and Human Sciences) were considerably more egalitarian. © 2022 Copyright is held by the author(s).","Educational Data Mining; Grading equity; Higher education entrance exams; Item Response Theory","Data mining; Machine learning; Educational data mining; Grading equity; High education entrance exam; High educations; Higher School; Item response theory; Large-scales; Property; Student performance; Work analysis; Grading","International Educational Data Mining Society","English","Conference paper","Final","","Scopus","2-s2.0-85174809648"
"Magitay-Becht A.; Das U.","Magitay-Becht, Andras (59703039200); Das, Udayan (57162403700)","59703039200; 57162403700","Pre-Introductory Programming for College Students: Driving Engagement, Motivation, and Creativity to Drive Interest in Computing Studies","2024","Proceedings - Frontiers in Education Conference, FIE","","","","","","","0","10.1109/FIE61694.2024.10893164","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000709032&doi=10.1109%2fFIE61694.2024.10893164&partnerID=40&md5=127d2a23fd5e9f8b2f15bc8d7a3fef36","This innovative practice paper presents an approach to make computer science (CS) in general and programming in particular more approachable for college students. Introductory programming classes can be difficult for learners; especially those without any programming background. Beginners must learn a new way of thinking, made more difficult by issues learning syntax. It's especially hard for students who lack a strong mathematics background. Observations across 3 editions of a CS0 pre-intro-programming course show that students consistently overestimate difficulties, and, come away with a stronger motivation for studying programming in the future as well as considering computer science (CS) and data science (DS) majors, minors, and certificates as options for future study after completion. A wider variety of students consider CS-adjacent college programs, and this can have an appreciable impact on the diversity of the student body entering CS/DS programs. We have found that long term success in CS/DS is predicted by strong motivational factors. While many high school students bring a strong motivation for pursuing CS/DS due to socioeconomic factors (exposure through people they know) and availability of coursework in high school; for other students, some may not have considered CS/DS as an option due to perceived difficulty as well as steep math requirements that function as barriers-to-entry. A CS0 pre-programming course like ours explicitly centers itself as 'coding-is-fun' and encourages creativity. Students engage strongly with and are motivated to put in extra outside-of-class work required for mastery of material. We have limited evidence due to the fact that the data we have is from our small liberal arts college, however, 2 key factors make our observations and analysis valuable: 1) being a Hispanic-Serving-Institution (HSI) and an Asian-American and Native-American Pacific-Islander Serving-Institution (AANAPISI) we have a diverse student body, and 2) we are not a highly selective college which brings in a wide variety of students in terms of prior preparation. Having a CS0 pre-programming' coding-is-fun' allows this diverse student body to 'test-the-waters' and, if interested, to pursue further CS/DS education by reducing the barrier-to-entry. We present data on: student perceptions before/after taking the course; the numbers of students considering further study including the breakdown of course-based vs self-study; and the tremendous numbers of students who find coding easier and therefore something they will use in their future life regardless of whether they formally plan to study CS/DS. The final point is critical in terms of adjusting to life in the 21st century as many fields/professions continue to increasingly be influenced by information and data technologies. © 2024 IEEE.","CS education; CS4all; CSO; Intro Programming","Artificial intelligence; Curricula; Data Science; Economic analysis; Economic and social effects; Energy balance; Problem oriented languages; Teaching; College students; Computer Science Education; Cs4all; CSO; Innovative practices; Intro programming; Introductory programming; Pre-programming; Programming course; Science-data; Students","Institute of Electrical and Electronics Engineers Inc.","English","Conference paper","Final","","Scopus","2-s2.0-105000709032"
"Şahin S.; Erol Ç.","Şahin, Suat (57895030200); Erol, Çiğdem (56653575100)","57895030200; 56653575100","Prediction of Secondary School Students’ Academic Achievements with Machine Learning Methods and a Sample System","2024","Cybernetics and Systems","55","4","","940","960","20","0","10.1080/01969722.2022.2122014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138294146&doi=10.1080%2f01969722.2022.2122014&partnerID=40&md5=6e799789816a9b350e223b19b9cddaa4","This study intends to predict the secondary school students’ academic achievements using machine learning methods, to determine the features that have the greatest influence on achievement, and to develop a system for the prediction of academic achievement. In line with this objective, the prediction of year-end weighted grade point averages using secondary school students’ socioeconomic, demographic characteristics, and course grade data is addressed as a classification problem. The data set used in the present study was collected from students studying at a secondary school in Istanbul province of Turkey. With the purpose of classification of the target variable, 7 machine learning algorithms, including K-Nearest Neighbor, Decision Trees, Random Forest, Support Vector Machines, Multilayer Perceptron, Logistic Regression, and Naive Bayes were applied, and their performances were compared. According to the results of the model performance evaluation, it becomes clear that the most successful model was the Random Forest algorithm (accuracy: 80.73%). The sample system developed based on the Random Forest model can be accessed at the following address: https://model-tahmin.herokuapp.com. The features of the students’ academic background (grade point average of past years, Turkish course 1st-semester average, and Math 1st-semester average) were found as the features that most affect achievement. © 2022 Taylor & Francis Group, LLC.","Academic achievement; artificial intelligence in education; classification; machine learning; prediction","Decision trees; Education computing; Learning algorithms; Learning systems; Logistic regression; Nearest neighbor search; Students; Support vector machines; Academic achievements; Artificial intelligence in education; Demographic characteristics; Grade point average; Machine learning methods; Machine-learning; Sample System; School students; Secondary schools; Socio-economics; Forecasting","Taylor and Francis Ltd.","English","Article","Final","","Scopus","2-s2.0-85138294146"
"Papa D.","Papa, Donatella (57947140600)","57947140600","Digital Device and Mathematics: Multilevel vs Machine Learning Models for Value-added Ranking in Italy","2022","International Conference on Computer Supported Education, CSEDU - Proceedings","2","","","171","178","7","0","10.5220/0011042700003182","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140913824&doi=10.5220%2f0011042700003182&partnerID=40&md5=765f988062b15e4555211c81059220ff","With the COVID-19 pandemic and the development of distance education programs, digital learning is popular and strategic in many learning fields. The deployment of Information and Communications Technology and its impact on both national and international learning programs are becoming increasingly significant. This study seeks to explore in the Italian context both the effectiveness of digital learning in Mathematics Education and which features and how affect value-added at the classroom level. To explore Information and Communications Technology contribution and value-added scoring, the study takes into consideration the analytical power of classical multilevel models concerning the predictive power of different types of machine learning models. The study aims to investigate how Information and Communications Technology, and related concepts, impact the Weighted Likelihood Estimates in Mathematics for students in the lower secondary school, using data from the INVALSI of the school year 2017/2018. The main finding is that Personal Computer ownership at home plays an important role in mathematical learning. Finally, a machine learning model incorporated in the educational domain can be an interesting starting point for developing class-predictive policies. Copyright © 2022 by SCITEPRESS – Science and Technology Publications, Lda. All rights reserved.","Education; ICT; Machine Learning; Mathematics; Multilevel","COVID-19; E-learning; Education computing; Learning systems; Machine learning; Regression analysis; Digital-learning; Distance education programs; ICT; Information and Communication Technologies; Learning fields; Learning projects; Machine learning models; Machine-learning; Mathematics education; Multilevels; Personal computers","Science and Technology Publications, Lda","English","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85140913824"
"Liang Z.; Chen J.","Liang, Ziyu (59154368200); Chen, Jun (57217255074)","59154368200; 57217255074","An Al-BERT-Bi-GRU-LDA algorithm for negative sentiment analysis on Bilibili comments","2024","PeerJ Computer Science","10","","e2029","","","","0","10.7717/PEERJ-CS.2029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195032115&doi=10.7717%2fPEERJ-CS.2029&partnerID=40&md5=ae5a896d79d46ba961a6bc5814d22572","The number of online self-learning users has been increasing due to the promotion of various lifelong learning programs. Unstructured commentary text related to their real learning experience regarding the learning process is generally published by users to show their opinions and complaints. The article aims to utilize the dataset of real text comments of 10 high school mathematics courses participated by high school students in the Bilibili platform and construct a hybrid algorithm called the Artificial Intelligence-Bidirectional Encoder Representations from Transformers (BERT) + Bidirectional Gated Recurrent Unit (BiGRU) and linear discriminant analysis (LDA) to crunch data and extract their sentiments. A series of tests regarding algorithm comparison were conducted on the educational review datasets. Comparative analysis found that the proposed algorithm achieves higher precision and lower loss rates than other alternative algorithms. Meanwhile, the loss ratio of the proposed algorithm was kept at a low level. At the topic mining level, the topic clustering of negative comments found that the barrage content was very messy and the complexity of the course content was generally reported by the students. Some problems related to videos were also mentioned. The outcomes are promising that the fundamental issues underlined by the students can be effectively resolved to improve curriculum and teaching quality. © (2024), Liang and Chen.","Fusion framework; Natural language processing; Negative sentiment analysis; Online learning","Curricula; Data mining; Discriminant analysis; E-learning; Learning algorithms; Learning systems; Students; Analysis algorithms; Fusion framework; Language processing; Linear discriminant analyze; Natural language processing; Natural languages; Negative sentiment analyse; Negative sentiments; Online learning; Sentiment analysis; Sentiment analysis","PeerJ Inc.","English","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85195032115"
"Tatar C.; Yoder M.M.; Coven M.; Wiedemann K.; Chao J.; Finzer W.; Jiang S.; Rosé C.P.","Tatar, Cansu (57210809676); Yoder, Michael Miller (57201344107); Coven, Madeline (58810836800); Wiedemann, Kenia (57215095080); Chao, Jie (56706891100); Finzer, William (7801679006); Jiang, Shiyan (57191191820); Rosé, Carolyn P. (8097137900)","57210809676; 57201344107; 58810836800; 57215095080; 56706891100; 7801679006; 57191191820; 8097137900","Modeling Unstructured Data: Teachers as Learners and Designers of Technology-enhanced Artificial Intelligence Curriculum","2021","Proceedings of International Conference of the Learning Sciences, ICLS ","","","","617","620","3","7","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133202109&partnerID=40&md5=a0e736888e8c3761b71c5bdee9bfc4d4","In this paper, we present a co-design study with teachers to contribute towards development of a technology-enhanced Artificial Intelligence (AI) curriculum, focusing on modeling unstructured data. We created an initial design of a learning activity prototype and explored ways to incorporate the design into high school classes. Specifically, teachers explored text classification models with the prototype and reflected on the exploration as a user, learner, and teacher. They provided insights about learning opportunities in the activity and feedback for integrating it into their teaching. Findings from qualitative analysis demonstrate that exploring text classification models provided an accessible and comprehensive approach for integrated learning of mathematics, language arts, and computing with the potential of supporting the understanding of core AI concepts including identifying structure within unstructured data and reasoning about the roles of human insight in developing AI technologies. © ISLS.","","Artificial intelligence; Arts computing; Classification (of information); E-learning; Learning systems; Teaching; Text processing; Co-designs; Design studies; Higher School; Initial design; Learning Activity; Learning opportunity; Qualitative analysis; Teachers'; Text classification models; Unstructured data; Curricula","International Society of the Learning Sciences (ISLS)","English","Conference paper","Final","","Scopus","2-s2.0-85133202109"
"Lu Y.; Liu J.; Zhang Y.; Lu G.","Lu, Yi (57282011800); Liu, Jian (57867647800); Zhang, Yinshuai (57266934300); Lu, Guoqi (57210157288)","57282011800; 57867647800; 57266934300; 57210157288","Design of a STEM Education Product ""AMIGO""","2020","Proceedings - 2020 International Conference on Innovation Design and Digital Technology, ICIDDT 2020","","","","10","16","6","1","10.1109/ICIDDT52279.2020.00010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115398676&doi=10.1109%2fICIDDT52279.2020.00010&partnerID=40&md5=4fdbdd1ff029906b72c4aad4d2d76914","The researchers aim to respond to the policy of developing smart education put forward in the Plan of New-generation Artificial Intelligence Development and accelerate the popularization and development of Science Technology Engineering Mathematics (STEM) education in primary and secondary schools. By extracting the needs of STEM courses in smart classrooms, the researchers finally designed ""AMIGO"", a set of modular and emotional smart robot based on tangible interaction, which is composed of a dozen types of sensors, electronic components and a main board, with an integration of online programming courses, enabling it to be used for multiplayer competition and cooperation. © 2020 IEEE.","Interactive Design; Smart Classroom; STEM Education; Toy Design","Curricula; Engineering education; Product design; Robot programming; Engineering mathematics; Engineering mathematics course; Interactive design; Mathematics education; Modulars; Primary and secondary schools; Science technologies; Science technology engineering mathematic education; Smart classroom; Toy design; Toys","Institute of Electrical and Electronics Engineers Inc.","English","Conference paper","Final","","Scopus","2-s2.0-85115398676"
"Chedup S.; Jayakody D.N.K.; Subba B.; Hydher H.","Chedup, Sangay (57202196978); Jayakody, Dushantha Nalin K. (37035962700); Subba, Bevek (57194180769); Hydher, Hassaan (57219656025)","57202196978; 37035962700; 57194180769; 57219656025","Performance Comparison of Arduino IDE and Runlinc IDE for Promotion of IoT STEM AI in Education Process","2021","Lecture Notes in Electrical Engineering","749 LNEE","","","237","254","17","0","10.1007/978-981-16-0289-4_18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111145169&doi=10.1007%2f978-981-16-0289-4_18&partnerID=40&md5=9eb370ee4113d5002d4304a866e42ca9","Giving early access to the knowledge and skills on the Internet of Things (IoT) and artificial intelligence (AI) technologies would lead to early innovations and inventions. The introduction of such technology to primary and high school students is felt significant to harness the creativity of youths faster and earlier. In order to do so, it is important to give them access to friendly and easy technologies. This eventually will help them realize the potential of IoT and AI. This project studies two platforms Arduino IDE and runlinc IDE on their user-friendliness, ease of IoT STEM AI application development. A system model-based experimental comparison was carried out. The microcontrollers and sensors are independent variables. The required program code in lines of statements, time taken to develop the program code, and parameters controlled by sensors as dependent variables. The user experience survey was conducted to supplement the experimental findings. The respondents are primary and high school students, university students and teachers, professionals, and researchers. Respondents are largely who had experience of using both Arduino and runlinc. Both the experiment result and the survey showed that the runlinc is easy and faster to realize the development of IoT and AI application development. © 2021, Springer Nature Singapore Pte Ltd.","AI; Arduino IDE; Education; IoT; Runlinc; STEMSEL","Deep learning; Education computing; Integrodifferential equations; Intelligent computing; Learning systems; STEM (science, technology, engineering and mathematics); Students; Surveys; User experience; Artificial intelligence technologies; Dependent variables; Experimental comparison; High school students; Independent variables; Internet of thing (IOT); Performance comparison; University students; Internet of things","Springer Science and Business Media Deutschland GmbH","English","Conference paper","Final","","Scopus","2-s2.0-85111145169"
"Xu Y.","Xu, Yan (57210921742)","57210921742","Computer-aided design of personalized recommendation in teaching system","2020","Computer-Aided Design and Applications","17","","","44","56","12","20","10.14733/cadaps.2020.S1.44-56","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071835867&doi=10.14733%2fcadaps.2020.S1.44-56&partnerID=40&md5=fd29958b01e570e80dce7f919e5eca6a","The traditional education model has been unable to adapt to the needs of talents in the new era. In order to improve teaching efficiency and promote the coordination of teaching mode and computer technology development, this paper used artificial intelligence, fuzzy mathematics, XML and other technologies to form a network teaching system with certain intelligence under the guidance of new constructivist theory. At the same time, this paper designed an educational resource topic push system and transplanted it to a secondary education cloud platform in Zunyi City. This thesis provides a reference example for promoting the application of recommendation system in teaching aid system and the development of teaching aid system, and also improves the auxiliary quality of teaching aid system and provides theoretical reference for subsequent related research. © 2020, CAD Solutions, LLC. All rights reserved.","Computer aided; Personalization; Recommendation system; System construction; Teaching","Computer aided design; Teaching; Computer aided; Educational resource; Personalizations; Personalized recommendation; Quality of teaching; System construction; Teaching efficiencies; Traditional educations; Recommender systems","CAD Solutions, LLC","English","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85071835867"
"Angara P.P.; Stege U.; MacLean A.","Angara, Prashanti Priya (57217583649); Stege, Ulrike (15045921800); MacLean, Andrew (57221014575)","57217583649; 15045921800; 57221014575","Quantum Computing for High-School Students An Experience Report","2020","Proceedings - IEEE International Conference on Quantum Computing and Engineering, QCE 2020","","","9259970","323","329","6","17","10.1109/QCE49297.2020.00047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097990716&doi=10.1109%2fQCE49297.2020.00047&partnerID=40&md5=e337454f4090f96fe28181dd6f89fa52","Quantum computing is an emerging field that can revolutionize our ability to solve problems and enable breakthroughs in many areas including optimization, machine learning, chemistry, and drug design. With the increasing computational power of quantum computers and the proliferation of quantum development kits, the demand for a skilled workforce in quantum computing increases significantly. The theory of quantum computing lies at the crossroads of quantum physics, mathematics, and computer science. The field of quantum computing has matured and can now be explored by all students. While today, quantum computers and simulators are readily accessible and programmable over the internet, quantum computing education is just ramping up. This paper describes our experiences in organizing and delivering quantum computing workshops for high-school students with little or no experience in the abovementioned fields. We introduce students to the world of quantum computing in innovative ways, such as newly designed 'unplugged' activities for teaching basic quantum computing concepts. Overall, we take a programmatic approach and introduce students to the IBM Q Experience using Qiskit and Jupyter notebooks. Our experiences and findings suggest that basic quantum computing concepts are palatable for high-school students, and-due to significant differences between classical and quantum computing-early exposure to quantum computing is a valuable addition to the set of problem-solving and computing skills that high-schoolers obtain before entering university. © 2020 IEEE.","CS-unplugged; education; entanglement; high schoolers; measurement; Qiskit; Quantum computing; quantum computing games; quantum gates; quantum teleportation; qubit systems; superposition; teachers; training; workforce development","Problem solving; Qubits; Students; User experience; Computational power; Computing skills; Drug Design; Experience report; High school students; Quantum Computing; Quantum physics; Skilled workforces; Computation theory","Institute of Electrical and Electronics Engineers Inc.","English","Conference paper","Final","","Scopus","2-s2.0-85097990716"
"Wesolowski K.","Wesolowski, Krzysztof (7003482804)","7003482804","Problems and Challenges in Education in ICT at the Poznan University of Technology","2020","2020 5th International Conference on Information Technologies in Engineering Education, Inforino 2020 - Proceedings","","","9111847","","","","1","10.1109/Inforino48376.2020.9111847","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086890964&doi=10.1109%2fInforino48376.2020.9111847&partnerID=40&md5=33c04ccfa7edf1c8873a4d6d857f0582","In this paper, we describe the current status of university education in the area of electronics and telecommunications, teleinformatics, computer science and artificial intelligence at the Poznan University of Technology. We describe the method of admission for the above fields of studies, and problems faced by freshmen resulting from the education curricula in high schools in Poland, in particular in mathematics and informatics. Next, we shortly describe most of the fields of studies offered at PUT in Information and Communication Technologies (ICT). We also present a description of the newly introduced field of studies, namely, Artificial Intelligence. We also show how the job offers influence candidates for Ph.D. studies, and present the prospects of scientific careers. It is a problem of relations with industry, which on one hand have a form of cooperation, but on the other, create serious competition for the development of university scientific staff in ICT. © 2020 IEEE.","academic education; artificial intelligence; Computer engineering; electronics; telecommunications","Artificial intelligence; Competition; Education computing; Employment; Current status; High school; Information and Communication Technologies; Problems and challenges; University education; Engineering education","Institute of Electrical and Electronics Engineers Inc.","English","Conference paper","Final","","Scopus","2-s2.0-85086890964"
"Sokkhey P.; Navy S.; Tong L.; Okazaki T.","Sokkhey, Phauk (57210794398); Navy, Sin (57219332829); Tong, Ly (57219329306); Okazaki, Takeo (15623510500)","57210794398; 57219332829; 57219329306; 15623510500","Multi-models of educational data mining for predicting student performance in mathematics: A case study on high schools in cambodia","2020","IEIE Transactions on Smart Processing and Computing","9","3","","217","229","12","17","10.5573/IEIESPC.2020.9.3.185","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088948429&doi=10.5573%2fIEIESPC.2020.9.3.185&partnerID=40&md5=ecdedb25778677f7147fbae868045ba5","Education is crucial for the development of any country. Analysis of education datasets requires effective algorithms to extract hidden information and gain the fruitful results to improve academic performance. Multiple models were used to maximize the contribution to the education environment. In this study, we used the spot-checking algorithm to compare these methods and find the most effective method. We propose three main classes of education research tools: A statistical analysis method, machine learning algorithms, and a deep learning framework. The data were obtained from many high schools in Cambodia. We introduced feature selection techniques to figure out the informative features that affect the future performance of students in mathematics. The proposed ensemble methods of tree-based classifiers provide satisfiying results, and in that, random forest algorithm generates the highest accuracy and the lowest predictive mean squared error, thus showing potential in this prediction and classification problem. The results from this work can be used as recipe and recommendation for mining various material settings in improving high school student performance in Cambodia. © 2020 Institute of Electronics and Information Engineers. All rights reserved.","Deep belief network; Education data mining; Machine learning algorithms; Predicting student performance; Statistical analysis technique","Decision trees; Deep learning; Education computing; Learning algorithms; Mean square error; Students; Academic performance; Educational data mining; Effective algorithms; High school students; Learning frameworks; Random forest algorithm; Selection techniques; Statistical analysis methods; Data mining","Institute of Electronics Engineers of Korea","English","Article","Final","","Scopus","2-s2.0-85088948429"
"Robles D.; Quintero M. C.G.","Robles, Diego (57210744346); Quintero M., Christian G. (59407946800)","57210744346; 59407946800","Intelligent system for interactive teaching through videogames","2020","Sustainability (Switzerland)","12","9","3573","","","","15","10.3390/SU12093573","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085965397&doi=10.3390%2fSU12093573&partnerID=40&md5=669d74a6dfb9199c4c0026d9449f8eeb","Education, videogames, and intelligent systems are all relevant topics for researchers. Determining means of improving academic performance using a range of techniques and tools is an important challenge. However, while there are currently websites and multimedia resources that help students to improve their knowledge on specific topics, these lack in not having intelligent agents that can evaluate students and recommend materials to suit the difficulty that a user is having in a given subject. In this sense, this paper aims at developing an intelligent system that allows interactive teaching in basic education using videogames. In particular, high school students' skills in basic mathematical operations with fractions were used for testing experimentally the approach. An intelligent system was developed using computational techniques such as fuzzy logic and case-based reasoning to evaluate user performance and recommend additional study material according to the specific challenges from the given educational game. The use of the games was supported by ICT (information and communication technologies) tools on a web platform. Such a developed platform was tested by 206 high school students, who played 5400 games in total. The students showed an improvement of around 14% in the topics covered. The results indicate that the implementation jointly of videogames and intelligent systems allows users to improve their performance in the given topics. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.","Case-based reasoning; Education; Fuzzy logic; ICT; Intelligent systems; Interactive education; Videogames","academic performance; artificial intelligence; experimental study; fuzzy mathematics; information and communication technology; multimedia; research work; student; teaching","MDPI","English","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85085965397"
"Alonso J.M.","Alonso, Jose M. (58258461100)","58258461100","Teaching explainable artificial intelligence to high school students","2020","International Journal of Computational Intelligence Systems","13","1","","974","987","13","55","10.2991/ijcis.d.200715.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089591774&doi=10.2991%2fijcis.d.200715.003&partnerID=40&md5=39a35f4cf486d4fa68be4f74056ce78a","Artificial Intelligence (AI) is part of our everyday life and has become one of the most outstanding and strategic technologies. Explainable AI (XAI) is expected to endow intelligent systems with fairness, accountability, transparency and explanation ability when interacting with humans. This paper describes how to teach fundamentals of XAI to high school students who take part in interactive workshop activities at CiTIUS-USC. These workshop activities are carried out in the context of a strategic plan for promoting careers on Science, Technology, Engineering and Mathematics. Students learn (1) how to build datasets free of bias, (2) how to build interpretable classifiers and (3) how to build multi-modal explanations. © 2020 The Authors. Published by Atlantis Press B.V.","Decision trees; Educational AI resources; Explainable artificial intelligence; Fuzzy rule-based classifiers; Interpretable computational intelligence","Classification (of information); Intelligent systems; Professional aspects; High school students; Multi-modal; Science , Technology , Engineering and Mathematics; Strategic plan; Strategic technologies; Students","Atlantis Press","English","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85089591774"
"Thu L.H.","Thu, Luu Hoai (57218949817)","57218949817","Technology 4.0 and digital transfer technology -the competition of learning online (E-learning) after a decade","2020","ACM International Conference Proceeding Series","","","","56","60","4","1","10.1145/3409891.3409897","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090884151&doi=10.1145%2f3409891.3409897&partnerID=40&md5=1519a0c1d5272358ce243cd3eada5399","In 2008, FPT corporation launched the Internet-Violympic Math Competition, the first contest in Vietnam that combines modern educational methods and strengths in IT, helping high school students love and learn more effectively. With nearly 30 million contestants in 63 provinces and cities across the country, the competition has created the joy of learning for tens of millions of students over the past 10 years. Following the success of Violympic, FPT corporation brought the VioEdu Online Education System to the market, contributing to creating fair learning opportunities for students nationwide, promoting the quality of national education. VioEdu is an online training system for elementary, junior high and high school students, helping to personalize their learning, save time and increase learning efficiency by applying the latest technology such as: Artificial intelligence (AI), Big data analysis, graphical knowledge modeling and compatible learning methods. Accordingly, the training process, data on learning behaviors and knowledge of students will be synthesized and analyzed by AI to find strengths and gaps in knowledge to propose appropriate learning pathways. As a result, each skill, depending on the nature, will be cultivated or promoted separately, helping them to learn the right focus and not spread out. The content of the lessons on VioEdu is developed and developed by a team of excellent teachers and educational experts from education departments and universities, following the curriculum of Vietnamese textbooks. In addition, the system also has about 30% of advanced and expanded knowledge. The form of visual lecture presentation, built as a game with encouraging prizes, creates a learning interest for children. Only with computers or mobile devices connected to the internet, students from all over the country can access modern education, shorten the knowledge gap between regions by the VioEdu online education system. Currently, the system has more than 400 video lectures and more than 100,000 content of Math teaching knowledge for elementary students. In the product development roadmap, VioEdu will cover all content of all levels of Vietnamese Mathematics, then extend to Mathematics in English, English, Physics, Chemistry, and STEM. The paper attempts to evaluate the effectiveness of the VioEdu system based on the testing process in the 2018-2019 school year with 2,000 students at some elementary schools in Hanoi, with 73.8% of students making progress. after 3-6 months of studying on VioEdu (according to an independent objective assessment of the teacher directly teaching). © 2020 ACM.","Digital learning; Digital transformation; E-learning; Online education system; Personalize learning; VioEdu","Artificial intelligence; Curricula; e-government; Electronic commerce; Engineering education; Learning systems; Screen printing; Students; Elementary schools; Elementary students; Graphical knowledge; High school students; Learning efficiency; Learning opportunity; Lecture presentation; Objective assessment; E-learning","Association for Computing Machinery","English","Conference paper","Final","","Scopus","2-s2.0-85090884151"
