"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Predicting Student Dropout Rates in Massive Open Online Courses Using an Attention-Based GCNN Model","B. S; S. Mann; A. Thangam; V. R. Dubey; B. V; N. Nishant","ISBR Business School, Bangalore, Karnataka, India; Indira School of Business Studies, PGDM, Maharashtra, India; Department of Mathematics, Pondicherry University, Community College, Lawspet, Pondicherry, India; Department of Computer Science & Engineering, Jai Narain College of Technology, Lambakheda, Bhopal, India; Department of Management, St Claret College, Bengaluru, Karnataka, India; Department of Computer Science and Engineering, School of Engineering, Babu Banarasi Das University, Lucknow, India","2024 International Conference on Electronics, Computing, Communication and Control Technology (ICECCC)","23 Jul 2024","2024","","","1","6","There is a treasure trove of information, insights, and monitoring possibilities in the mountains of student data that colleges collect. Economic growth, employment prospects, competitiveness, and productivity are all hindered by educational failures and school dropout rates, which impact not only higher education institutions but also students, families, and society at large. A systematic technique consisting of three essential steps is followed in this work. The first step is to collect the dataset, and then for each data point, preprocessing methods are put up. Here, we focus on variables like gender, previous academic performance, and sessional marks, and we transform and handle missing values as part of the data selection process. The importance of the feature scores is then determined using a feature selection procedure. Lastly, an Attention-based GCNN method outperforms more traditional methods like GCN and ACNN while training the model.","","979-8-3503-7180-2","10.1109/ICECCC61767.2024.10593955","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10593955","Graph Convolutional Network (GCN);Attention Layer;Student Dropout (SD)","Training;Productivity;Systematics;Reviews;Graph convolutional networks;Transforms;Predictive models","","","","24","IEEE","23 Jul 2024","","","IEEE","IEEE Conferences"
"To what extent do mark expectations of first years align with their academic achievement within biology based degrees at a South African university?","S. Hlomuka; S. Dukhan; R. Ajoodha","School of Computer Science and Applied Mathematics, The University of the Witwatersrand, Johannesburg, South Africa; School of Computer Science and Applied Mathematics, The University of the Witwatersrand, Johannesburg, South Africa; School of Computer Science and Applied Mathematics, The University of the Witwatersrand, Johannesburg, South Africa",2021 3rd International Multidisciplinary Information Technology and Engineering Conference (IMITEC),"21 Feb 2022","2021","","","1","5","The drop-out rate in South African universities is of concern because it is is costing the government substantial amounts of funding. There are historical reasons why there is a high drop-out rate, these reasons stem from the Apartheid era and how it had an impact on our education system. In this study we aim to shed light on whether the marks that students anticipate achieving are aligned to the marks that they obtain on assessments. Examining this link could shed light on whether first-year students have realistic views of the academic demands at university. This is done by training 6 different models namely Bagging, Random Forest, Decision table, Logistic Regression, Naive Bayes and Multi-Layer Perceptron. All the models are trained using a K-Fold cross validation K=5 to achieve a 80:20 split of training and test data. The best performing model is the Logistic Regression model with 0.692982 accuracy but with the problem in had it is found that the best model to use is the Decision table due to it’s ability to classify students that failed the year with a recall of 0.719 for class ”Fail”.","","978-1-6654-1749-5","10.1109/IMITEC52926.2021.9714610","National Research Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9714610","","Training;Costing;Biological system modeling;Government;Tutorials;Data models;Information technology","","","","16","IEEE","21 Feb 2022","","","IEEE","IEEE Conferences"
"Gea2: A Serious Game for Technology-Enhanced Learning in STEM","L. S. Ferro; F. Sapio; A. Terracina; M. Temperini; M. Mecella","Department of Computer, Control, and Management Engineering, Sapienza University of Rome, Rome, Italy; Department of Computer, Control, and Management Engineering, Sapienza University of Rome, Rome, Italy; Department of Computer, Control, and Management Engineering, Sapienza University of Rome, Rome, Italy; Department of Computer, Control, and Management Engineering, Sapienza University of Rome, Rome, Italy; Department of Computer, Control, and Management Engineering, Sapienza University of Rome, Rome, Italy",IEEE Transactions on Learning Technologies,"18 Apr 2022","2021","14","6","723","739","Education and training are among the fields taking advantage of serious games (SGs). In this article, we present Gea 2: A New Earth, a digital SG developed as an immersive 3-D virtual learning environment, integrating several educational resources, including multimedia learning material, communication tools, and intelligent tutoring support. The game aims to complement traditional classroom activities in science, technology, engineering, and mathematics (STEM), for high school students and teachers. It incorporates an intelligent pedagogical agent that can converse in natural language with the student and provides unsolicited hints during gameplay. This article presents the game and its evaluation based on experiments involving about 100 participants. We think that the results presented here add to the research on game-based learning for STEM, by proposing a complex game system, where artificial intelligence techniques are integrated to support students’ learning, and by confirming that the game experience can be attractive for the learners, also in very constrained classroom environments, such as those we operated in.","1939-1382","","10.1109/TLT.2022.3143519","European Space Education Resource Office(grant numbers:SPATIO); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9684728","Game-based learning;serious games (SGs);science;technology;engineering;and mathematics (STEM) education;technology-enhanced learning (TEL)","Games;Task analysis;Training;STEM;Entertainment industry;Electronic learning;Space exploration","","9","","42","IEEE","18 Jan 2022","","","IEEE","IEEE Journals"
"Design of a STEM Education Product ""AMIGO""","Y. Lu; J. Liu; Y. Zhang; G. Lu","Beijing University of Technology, Beijing, China; Beijing University of Technology, Beijing, China; Levono Group Co.LTD, Beijing, China; Beijing Institute of Graphic Communication, Beijing, China",2020 International Conference on Innovation Design and Digital Technology (ICIDDT),"30 Aug 2021","2020","","","10","16","The researchers aim to respond to the policy of developing smart education put forward in the Plan of New- generation Artificial Intelligence Development and accelerate the popularization and development of Science Technology Engineering Mathematics (STEM) education in primary and secondary schools. By extracting the needs of STEM courses in smart classrooms, the researchers finally designed ""AMIGO"", a set of modular and emotional smart robot based on tangible interaction, which is composed of a dozen types of sensors, electronic components and a main board, with an integration of online programming courses, enabling it to be used for multiplayer competition and cooperation.","","978-1-6654-0367-2","10.1109/ICIDDT52279.2020.00010","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9522490","component;STEM Education;Toy Design;Interactive Design;Smart Classroom","Technological innovation;Epidemics;Education;Games;Robot sensing systems;Product design;Programming profession","","1","","17","IEEE","30 Aug 2021","","","IEEE","IEEE Conferences"
"Towards Explainable Group Formation by Knowledge Map based Genetic Algorithm","B. Flanagan; C. Liang; R. Majumdar; H. Ogata","Academic Center for Computing and Media Studies, Kyoto University, Kyoto, Japan; Graduate School of Informatics, Kyoto University, Kyoto, Japan; Academic Center for Computing and Media Studies, Kyoto University, Kyoto, Japan; Academic Center for Computing and Media Studies, Kyoto University, Kyoto, Japan",2021 International Conference on Advanced Learning Technologies (ICALT),"2 Aug 2021","2021","","","370","372","In recent years, machine learning of increasing complexity is being applied to problems in education. However, there is an increasing call for transparency and understanding into how the results of complex models are derived, leading to explainable AI gaining attention. The application of machine learning to automated group formation for collaborative work from learning system logs and other data has been progressing. Building on previous research in this field, we propose a group formation method that is based on a combination of course knowledge structures, reading behavior, and assessment analysis to create optimal heterogenous and homogeneous working groups using a genetic algorithm. The characteristics of each group are presented for explanation as a visualized knowledge map showing the strengths and weaknesses of each group, and are in the structure form of curriculum. We also present a case study of applying the method to junior high school mathematics log data, and provide explanation in a visualized form of standardized curriculum of group characteristics that are often referenced for learning design by teachers.","2161-377X","978-1-6654-4106-3","10.1109/ICALT52272.2021.00119","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9499897","Group formation;Genetic Algorithm;Explainable","Learning systems;Education;Data visualization;Machine learning;Collaborative work;Mathematics;Complexity theory","","9","","9","IEEE","2 Aug 2021","","","IEEE","IEEE Conferences"
"Developing Motion Editor for 3D Printed Humanoid Robot by VTK and Python","C. -T. Hsieh",Ming Chi University of Technology,2022 International Conference on Fuzzy Theory and Its Applications (iFUZZY),"26 Dec 2022","2022","","","1","4","For satisfying the needs of Industry 4.0, STEM education gradually becomes important. The STEM education provides courses to educate students in four disciplines, i.e. science, technology, engineering, and mathematics. In addition, transforming current industry to a modern industry needs the support from a group of professional people who are familiar with the core technologies of ID 4.0, such as virtual and real Integration systems, cloud computing, Internet of Things (IoT), and artificial intelligence(AI). Programming is the key to make the above industrial revolution success. Thus, our previous project developed a low cost humanoid robot as a learning tool applied in STEM programs. With the assistance of the humanoid robot, young students can learn programming courses easily and efficiently. Currently, STEM education is often applied in elementary, junior-high and senior-high schools. It really improves students' learning circumstance in STEM fields. This paper introduced the STEAM education model to create a good learning circumstance for art students. Digital teaching aids, such as humanoid robot, and quadruped mechanical animal, support students to learn STEM programs more intuitively. Those aids can help students to learn mechanical mechanisms, electronic motors, digital control and programming and so on. These teaching aids are all open source, and they can be printed by 3D printers. Students can learn mechanics, electronics, and programming via the course. In order to enable students to use the humanoid robot digital teaching aids more effectively and completely, a humanoid robot motion editor is developed. This editor was developed by python and VTK, and it also has a friendly window-based interface. Its main task is to provide students to edit the motion of the robots quickly and easily. Through this editor, students can learn more about multi-foot and humanoid robot motions.","2377-5831","978-1-6654-9587-5","10.1109/iFUZZY55320.2022.9985225","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9985225","Humanid Robot;STEM;Python;VTK;Qt","Three-dimensional displays;Education;Humanoid robots;Printers;Internet of Things;Servomotors;Robots","","","","8","IEEE","26 Dec 2022","","","IEEE","IEEE Conferences"
"Using Factor Analysis to Increase Accuracy of Neural Networks for Predicting Student Test Scores","M. S. Brown; M. Momtaz; A. Mai; D. Modi","Information Systems Department, University of Maryland Baltimore County, Baltimore, MD, USA; Computer Science and IT Department, Hood College, Frederick, MD, USA; Computer Science and Engineering Department, Texas A&M College Station, College Station, TX, USA; Department of Computer Science and Electrical Engineering, University of Maryland Baltimore County, Baltimore, MD, USA",2024 IEEE Frontiers in Education Conference (FIE),"26 Feb 2025","2024","","","1","8","This work is a full research-to-practice paper that describes a predictive method to improve the prediction of student test scores. Predicting student test scores is difficult. However, doing so can improve education greatly by improving advising, scheduling, tutoring assignment and other educational processes. This research extends previous research by using a domain space reduction technique to improve accuracy. Factor Analysis is used to reduce the number of domain attributes for improving the accuracy of a Neural Network to predict student test scores. In this research datasets for Mathematics and Language of high school student test scores were used. Test scores were predicted using a Neural Network computing the Mean Absolute Error as a measurement of accuracy. The datasets have 30 domain attributes each. Factor Analysis was used to reduce the domain size from between 1 to 29, each time using it to train the Neural Network. Because the Mean Absolute Error may vary depending upon which records in the dataset are used for training versus testing, 50 trials of each dataset size were executed producing an Average Mean Absolute Error for each domain size. A statistical test was used to show statistical significance between the Neural Network without Factor Analysis and the Neural Network with varying domain sizes using Factor Analysis. Results were very promising and correspond to previous research that used Principal Component Analysis. Numerous domain sizes had significantly better Average Mean Absolute Errors than the accuracy of the Neural Network without Factor Analysis. This research shows that reducing the domain size using Factor Analysis can greatly improve the accuracy of Neural Networks when predicting student test scores. The best improvements occurred when domain sizes were very small ranging from 2 to 6. Domain reduction techniques, such as Factor Analysis, have been shown to improve predictive models for student test score prediction. Future research should consider other domain reduction techniques, like T-SNE, in combination with other predictive models, like Support Vector Machines.","2377-634X","979-8-3503-5150-7","10.1109/FIE61694.2024.10893065","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10893065","Factor Analysis;High School;Neural Networks;Predicting Student Test Scores;Domain Space Reduction;Domain Reduction;Predictive Models","Training;Support vector machines;Accuracy;Neural networks;Measurement uncertainty;Predictive models;Nearest neighbor methods;Mathematical models;Testing;Principal component analysis","","","","30","IEEE","26 Feb 2025","","","IEEE","IEEE Conferences"
"Multilayer Perceptron Neural Network Approach to Classifying Learning Modalities Under the New Normal","G. S. Lumacad; R. A. Namoco","Higher Education Department, St. Rita’s College, Balingasag, Misamis Oriental, Quezon City, Philippines; Department of Applied Mathematics, University of Science and Technology of Southern Philippines Cagayan de Oro Campus, Cagayan de Oro City, Philippines",IEEE Transactions on Computational Social Systems,"25 Jan 2024","2024","11","1","1169","1181","Because of community quarantines and lockdowns during COVID–19 times, the Philippine’s Department of Education (DepEd) implemented blended learning (BL) [both online and offline distance learning modalities (LM)] among basic educational institutions in the hope of continuing learners’ learning experiences amidst the pandemic. Learners’ LM are classified through the use of an Algorithm for Learning Delivery Modality as recommended by DepEd. Based on initial investigation, mismatches in learners’ LM were, however, observed, resulting in learners’ massive shifting from one LM to another in the middle of the school year. In this study, we introduced an approach to classifying learner’s LM using machine learning (ML) techniques. We compared the effectiveness of five ML classifiers, namely the random forest (RF), multilayer perceptron neural network (MLP NN), K-nearest neighbor (KNN), support vector machine (SVM), and Naïve Bayes (NB). Learner’s enrolment and survey form (LESF) data from the repository of a local private high school in the Philippines is used in model formulation. We also compared three existing feature selection (FS) algorithms (recursive feature elimination (RFE), Boruta algorithm (BA), and ReliefF)–integrated into the five ML classifiers as data feature reduction techniques. Results show that the combination of MLP NN and BA yielded a considerably high performance among the rest of the formulated models. Sensitivity analysis revealed that asynchronous LM is most sensitive to “existing health condition” feature, modified asynchronously, is highly characterized by low educational attainment and unstable employment status of parents or guardians, while synchronous learners have high socio–economic status as compared to other LM.","2329-924X","","10.1109/TCSS.2023.3251566","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10066327","Distance learning;feature selection (FS);learning modalities (LM);machine learning (ML);new normal;sensitivity analysis","Classification algorithms;Education;Classification tree analysis;COVID-19;Task analysis;Predictive models;Prediction algorithms","","","","65","IEEE","10 Mar 2023","","","IEEE","IEEE Journals"
"Exploring the Students' Profiles of Academic Help Seeking in Tutoring Systems","W. Cheng; X. Yu","Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China","2021 IEEE International Conference on Engineering, Technology & Education (TALE)","24 Jan 2022","2021","","","59","64","Different from traditional classroom and online academic help seeking (AHS), the learning behavior in tutoring systems has the characteristics of unsupervised, anonymous and privacy. The study of the AHS can provide effective guidance and intervention for students in the unsupervised learning environment. This study covers 3586 students in grades 1–12. The factors analysis and clustering method are used to analyze the use of help seeking function, learning engagement and learning performance. The results show that: (a) male learners invest more enthusiasm and participation in online learning than female learners, but there is no statistically significant difference between the AHS performance; (b) The study also reveals three clusters of students on the basis of AHS, of which 3.5% of them have high dependence on tutoring system and are named as the help-dependency group, the students in this group had the characteristics of lowest learning engagement and low learning performance; 67.7% of the students showed high self-discipline, named self-discipline group, and the students' learning engagement in this group was in the middle level of three groups, but the highest level of learning performance; the remaining 28.7% were in the middle level of three groups in the use of AHS, and the learning performance was also medium, but the longitudinal survey found that those students' ability increased the most. Additionally, compared with the real person, there is a higher conversion rate between the demand and behavior.","2470-6698","978-1-6654-3687-8","10.1109/TALE52509.2021.9678760","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9678760","AHS;K12;mathematics online learning;JUNYI Online Learning Data component","Privacy;Clustering methods;Education;Unsupervised learning","","2","","36","IEEE","24 Jan 2022","","","IEEE","IEEE Conferences"
"Recommendation system using Deep Learning-based sentiment analysis","I. Karabila; N. Darraz; A. El-Ansari; N. Alami; M. Lazaar; M. E. Mallahi","Department of Mathematics and Computer Science, IPI Laboratory, Sidi Mohamed Ben Abdellah University, High Normal School, Fez, Morocco; Department of Mathematics and Computer Science, IPI Laboratory, Sidi Mohamed Ben Abdellah University, High Normal School, Fez, Morocco; Computer Science Department, MASI Laboratory, Mohammed First University, Polydisciplinary Faculty, Nador, Morocco; Higher School of Technology MASI Laboratory, Mohammed First University, Nador, Morocco; Mohamed V University, ENSIAS, Rabat, Morocco; Department of Mathematics and Computer Science, IPI Laboratory, Sidi Mohamed Ben Abdellah University, High Normal School, Fez, Morocco",2023 Sixth International Conference on Vocational Education and Electrical Engineering (ICVEE),"14 Dec 2023","2023","","","41","47","With the exponential growth of online data, there is a growing demand for advanced recommendation systems (RS) due to their crucial role in providing personalized item recommendations to users. This work aims to overcome the limitations of traditional RSs by introducing an innovative approach that seamlessly integrates sentiment analysis (SA) into recommender system techniques. The primary goal is to enhance the performance of SA and improve the reliability and accuracy of user recommendations. The suggested framework comprises of three essential steps: SA, where the Bi-GRU technique is utilized to assess the emotional context within user reviews; the generation of personalized recommendations; and the seamless integration of sentiment analysis into the recommendation system. A comprehensive evaluation conducted on a Musical Instruments dataset demonstrates significant improvements in evaluation metrics. The Bi-GRU technique achieves an impressive accuracy rate of 89%. User-based recommendations using SA yield an RMSE of 1.83 and an MAE of 1.71. Additionally, item-based recommendations result in an RMSE of 2.18 and an MAE of 2.00. This pioneering approach represents a substantial contribution, promising more reliable and precise user recommendations, ultimately enhancing overall user satisfaction and the user experience.","","979-8-3503-2664-2","10.1109/ICVEE59738.2023.10348270","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10348270","Recommendation system;Sentiment analysis;Deep learning;Bi-GRU","Measurement;Electrical engineering;Sentiment analysis;Instruments;Education;Music;User experience","","3","","23","IEEE","14 Dec 2023","","","IEEE","IEEE Conferences"
"Blockchain Platforms as a Tool for Resolving Contradictions in the Labor Market and Improving the Interaction of the Applicant and Employer","A. N. Levitskaya; N. N. Pokrovskaia; E. A. Rodionova","Department of Economics and Management of Socio-Economic Systems, St. Petersburg University of Management Technologies and Economics, Saint Petersburg, Russia; Innovation Management Department, Saint Petersburg Electrotechnical University ""LETI""; Graduate School of Applied Mathematics and Computational Physics of the Physic-Mechanic Institute, St. Petersburg University of Management Technologies and Economics Peter the Great St. Petersburg Polytechnic UniversitH Saint Petersburg, Russia",2022 Conference of Russian Young Researchers in Electrical and Electronic Engineering (ElConRus),"20 Apr 2022","2022","","","1698","1703","The article provides a comparative analysis of blockchain platforms for creation, storage and trusted access to personalized documents for labor market participants. A project is discussed for creating reputation tokens as a crypto-currency of public trust, or as NFT, unique non-fungible assets of brand competency certificates. The paper investigates a number of problems arising in the interaction of employers and applicants, in particular, cybersecurity and reliability of certification, security of data and information flows, reconciliation of information about real work experience and obtained qualifications with employers' requests. The problems of the younger generation in the search for work and obtaining the desired positions are noted, i.e., the lack of data on competencies acquired, portfolio, previous experience. The blockchain platforms can help with solving tasks of HR service in the search and selection of candidates. The digitalization of social and economic life in Russia, in particular, labor market, is influenced with the cultural inertia and chasm of confidence between individuals, organizations and public administrations, the advantages of the use of blockchain technologies opens up in the field of recruiting and building a career path are shown on the basis of the enhancement of the mutual trust within the networks of distributed ledgers.","2376-6565","978-1-6654-0993-3","10.1109/ElConRus54750.2022.9755491","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9755491","labor market;IT technologies;digitalization;blockchain;HR specialist;applicant;reputation institution","Technological innovation;Engineering profession;Distributed ledger;Digital transformation;Search problems;Blockchains;Reliability","","1","","24","IEEE","20 Apr 2022","","","IEEE","IEEE Conferences"
"Support Vector Machine and Boosted Regression Tree as Effective Data Mining Tools for Predicting Students’ Academic Performance","N. M. Oparauwah; D. O. Njoku; U. C. Onyemauche; C. L. Okpalla; J. N. Odii; J. E. Jibiri; S. A. Okolie","Department of Computer Science, Federal University of Technology, Owerri, Imo State, Nigeria; Department of Computer Science, Federal University of Technology, Owerri, Imo State, Nigeria; Department of Computer Science, Federal University of Technology, Owerri, Imo State, Nigeria; Department of Computer Science, Federal University of Technology, Owerri, Imo State, Nigeria; Department of Computer Science, Federal University of Technology, Owerri, Imo State, Nigeria; Department of Information Technology, Federal University of Technology, Owerri, Imo State, Nigeria; Department of Computer Science, Federal University of Technology, Owerri, Imo State, Nigeria",2024 IEEE 5th International Conference on Electro-Computing Technologies for Humanity (NIGERCON),"24 Mar 2025","2024","","","1","5","This paper reports the application of data mining techniques; Support Vector Regression (SVR) and Boosted Regression Tree (BRT) in prediction of students’ academic performance in schools. The experimental approach in this study compared the performances of the two data mining techniques to ascertain the best performing model on an academic dataset. Publicly available dataset was used for this study and was retrieved from UCI Machine Learning Repository, Center for Machine Learning and Intelligent Systems. The data was collated from school reports and constructed questionnaires from two public secondary schools in Portugal regarding students’ performance in two distinct subjects: Mathematics (mat) and Portuguese language (por). Data analysis was conducted in two schemes, first with the complete feature sets and then with the reduced feature set (containing 5 selected best performing features). Evaluation results showed that the BRT model outperformed the SVR model with 0.97% and 0.96% accuracy on the complete and reduced feature sets respectively.","2377-2697","979-8-3315-4255-9","10.1109/NIGERCON62786.2024.10927303","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10927303","Support vector machine;Boosted regression tree;Data mining;Academic performance;Prediction","Support vector machines;Humanities;Data analysis;Accuracy;Machine learning;Mathematical models;Data models;Data mining;Intelligent systems;Regression tree analysis","","","","17","IEEE","24 Mar 2025","","","IEEE","IEEE Conferences"
"Enhancing the Admissions Process for Engineering Baccalaureate Programs: A Machine Learning Approach to Developing a Valid and Reliable Examination","M. S. Ramos; J. R. B. Barajas; P. J. N. Gealone; N. O. Aspra; O. M. Padua; A. T. Lucero","Divine Word College of Legazpi, Legazpi City, Albay, Philippines; Chemical Engineering Department, Bicol University College of Engineering, Legazpi City, Albay, Philippines; Electrical Engineering Department, Bicol University College of Engineering, Legazpi City, Albay, Philippines; Mechanical Technology Department, Bicol University College of Industrial Technology, Legazpi City, Albay, Philippines; Civil Engineering Department, Bicol University College of Engineering, Legazpi City, Albay, Philippines; Chemical Engineering Department, Bicol University College of Engineering, Legazpi City, Albay, Philippines",2023 Systems and Information Engineering Design Symposium (SIEDS),"31 May 2023","2023","","","191","196","This paper details an approach to identify multiple-choice questions that are most effective in discriminating deficiencies in mathematics competencies of incoming first-year engineering students who are graduates of the K-12 program that was recently implemented in the Philippines. To achieve this objective, machine learning algorithms such as the k-Nearest Neighbors (kNN), Logistic Regression (LR), Random Forest (RF), Decision Tree (DT), and Gradient Boosting Machines (GBM) were implemented. From a question bank containing 1,300 questions covering Algebra (A), Advanced Algebra (AA), Plane and Spherical Trigonometry (T), Analytic Geometry (AG), and Solid Mensuration (SM), five domain experts identified the suitability of the questions as part of a diagnostic examination in mathematics. Specifically, using a 5-point Likert scale (5 being the highest), the experts rated the suitability of each question to test the proficiency of a student in 23 mathematics competencies based on what is prescribed by the Commission on Higher Education (CHED). The collected survey data were then used to train the machine learning models, which extracted patterns to identify the questions that would be most suitable to test the mathematics competencies of incoming first-year engineering students. With a precision recall score of 99.90%, the LR model was selected as the best performing model and analysis of how the LR model predicts the labels through the use of shap values revealed that the preference was given towards questions which test student proficiency in foundational mathematics competencies like that of Algebra and Analytical Geometry. Overall, these findings provided a better understanding of the questions that are most effective in discriminating student deficiencies in mathematics subjects.","","979-8-3503-0064-2","10.1109/SIEDS58326.2023.10137793","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10137793","","Geometry;Surveys;Analytical models;Algebra;Predictive models;Solids;Reliability engineering","","","","26","IEEE","31 May 2023","","","IEEE","IEEE Conferences"
"Contribution to attendance and fraud management in engineering schools and digital universities with Deep Learning","K. Sylla; B. Babou; S. Ouya","Department of Applied Mathematics and Computer Science, Virtual University of Senegal (UVS), Dakar, Senegal; LITA Laboratory Polytechnic High School Cheikh Anta, Diop University, Dakar, Senegal; LITA Laboratory Polytechnic High School Cheikh Anta, Diop University, Dakar, Senegal","2023 3rd International Conference on Electrical, Computer, Communications and Mechatronics Engineering (ICECCME)","22 Sep 2023","2023","","","1","4","Facial recognition is applied in many sectors, including education. In fact, in engineering schools, where one of the major challenges is to train students in different sectors of activity, the presence of students is fundamental during these courses, unlike in faculties where attendance is not mandatory during lectures. In the face of massification in digital universities, the management of attendance and fraud during evaluations becomes fundamental to the credibility of the diplomas issued. This paper presents an artificial intelligence-based facial recognition system for attendance and fraud management in engineering schools and digital universities. Attendance and exam fraud management play a very important role in the training of learners. The use of this system saves a lot of time by eliminating the attendance management step by automating it while detecting fraud during exams. The solution consists of a student, course and schedule management application coupled with a facial recognition system. It detects the presence of learners during scheduled lessons and assessments through facial recognition.","","979-8-3503-2297-2","10.1109/ICECCME57830.2023.10252290","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10252290","Artificial Intelligence;Deep learning;Face Recognition;Students attendance;Fraud","Training;Deep learning;Schedules;Mechatronics;Face recognition;Fraud","","1","","15","IEEE","22 Sep 2023","","","IEEE","IEEE Conferences"
"Empowering Knowledge With Virtual and Augmented Reality","O. Gervasi; D. Perri; M. Simonetti","Department of Mathematics and Computer Science, University of Perugia, Perugia, Italy; Department of Mathematics and Computer Science, University of Perugia, Perugia, Italy; Department of Mathematics and Computer Science, University of Perugia, Perugia, Italy",IEEE Access,"27 Dec 2023","2023","11","","144649","144662","Recent global advancements in ICT technologies have motivated our research to assess the impact of Virtual and Augmented Reality on teaching and learning. In particular, we conducted a rigorous study on the effects on learning by subjecting classes of students to an experience of these emerging technologies and measuring their feelings before and after the experiment through questionnaires. We carried out the research involving three high schools and a total of 162 students aged between 15 and 20. During the meetings, we made available two applications that we developed. The first is a Virtual Reality environment that enables the user to explore a room in which the system spawns three-dimensional objects defined by the teacher. The objects may represent mathematical functions, physics simulations, scenes relating to historical re-enactments, etc. The second is an Augmented Reality smartphone application that allows three-dimensional figures to be observed via the smartphone screen by framing a marker printed on paper. Both applications are realised with free software, trying to minimise the technical requirements for their operation and guaranteeing reliability and usability. The work concludes by analysing the results obtained and comparing the effectiveness of the two technologies tested. Results of tests conducted in three Italian schools show that Augmented Reality is seen as a useful tool in education by about 94.43%. Importantly, the use of these technologies requires an inclusive design that involves all students, regardless of their level of familiarity with the technology. The overall analysis reveals that both technologies performed well, and students value them for their intuitiveness and level of immersion. The in presence experience is more effective for using immersive applications fostered by student collaboration.","2169-3536","","10.1109/ACCESS.2023.3342116","European Chemistry Thematic Network (ECTN), EchemTest® Project, through the Recurrent Donations to the LibreEOL Project of the Department of Mathematics and Computer Science, Perugia University; Italian Not-For-Profit Organization International Conference on Computational Science and Its Application (ICCSA)(grant numbers:IT01814970768); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10354293","Virtual reality;augmented reality;education;COVID-19","Software;Augmented reality;Education;Solid modeling;Operating systems;Mathematics;Games;Virtual reality;COVID-19","","8","","63","CCBY","12 Dec 2023","","","IEEE","IEEE Journals"
