title;author;journal;year;source;pages;volume;abstract;document_type;doi;url;selection_criteria;status;Keywords;domain_suggested
Identification of factors that affect the academic performance of high school students in Peru through a machine learning algorithm;Acosta, Lady Denisse Infante and Polo, Jonatán Edward Rojas;Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology;2021;Scopus;;2021-July;"The Peruvian Ministry of Education annually conducts the Student Census Evaluation (ECE, for its acronym in Spanish) to evaluate the level of learning achievement in the subjects of mathematics, reading and science and technology, both in public and private schools. The results are classified as Before beginning, Beginning, In process or Satisfactory. According to the results of the ECE 2019, it is observed that the academic performance achieved in the area of mathematics presents the highest percentage of students at the Satisfactory level (17.7%); however, in turn, said field of study is also the one that groups the highest percentage of students at the Before beginning level (33.0%). Considering the aforementioned, this research aims to identify those variables that affect the learning achievements in mathematics of high school students. Thus, for the proposed analysis, a classification model was built for each of the mentioned levels, through an ensemble machine learning algorithm that uses the gradient boosting method. As a result of the modeling, the importance of the variables analyzed was obtained, which finally identified those that have greater relevance in the prediction of the classification of each level of learning achievement. © 2021 Latin American and Caribbean Consortium of Engineering Institutions. All rights reserved.";Conference paper;10.18687/LACCEI2021.1.1.68;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122034048&doi=10.18687%2fLACCEI2021.1.1.68&partnerID=40&md5=75c44d9cf0d0d3b474be0ec3f1253fda;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"Classification model; Educational system; Machine learning; Student academic performance";Pensamiento Computacional
A case study of using AI for General Certificate of Secondary Education (GCSE) grade prediction in a selective independent school in England;Denes, Gyorgy;Computers and Education: Artificial Intelligence;2023;Scopus;;4;The COVID-19 pandemic has created significant challenges for UK schools, but a time of cancelled exams and uncertainty around future examinations can provide opportunities to explore novel assessment methods. Hence, the 2020 proposal of the Ofqual algorithm which combines teachers' estimated grades and schools' historical performance seemed timely. However, the algorithmically calculated grades resulted in a public backlash and withdrawal of the proposal. While the failed Ofqual algorithm could be considered an example of AI, we do not yet have a thorough understanding of its numerical accuracy and how it performs in comparison to other AI models. This paper investigates this novel application: the potential use of a range of AI models as assessment tools in a selective, independent, secondary school in England. The following questions were examined: (1) how accurate are modern AI models in predicting GCSE exam grades? (2) what are the differences in model accuracy across subjects and can these be explained by qualitative differences in teachers' grading practices? Results indicate that while models yield acceptable mean absolute errors, individual mispredictions can be larger than desired. Subject differences highlighted that grading subjectivity is less significant in science, technology, engineering, and maths (STEM) subjects, which could explain why objective models fail to predict non-STEM grades more frequently. In summary, numerical results indicate that grade prediction could be an interesting novel application of AI, but more research is needed to reduce outliers. © 2023 The Author(s);Article;10.1016/j.caeai.2023.100129;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147343765&doi=10.1016%2fj.caeai.2023.100129&partnerID=40&md5=97768551a93b15f23b85c49fa084f997;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"Grading; machine learning; grade prediction; examinations";Pensamiento Computacional
A Theoretical Framework for a Mathematical Cognitive Model for Adaptive Learning Systems;Sun, Siyu and Wu, Xiaopeng and Xu, Tianshu;Behavioral Sciences;2023;Scopus;;13;The emergence of artificial intelligence has made adaptive learning possible, but building an adaptive system requires a comprehensive understanding of students’ cognition. The cognitive model provides a crucial theoretical framework to explore students’ cognitive attributes, making it vital for learning assessment and adaptive learning. This study investigates 52 experts, including primary and secondary school teachers, mathematics education experts, and graduate students, based on the 16 cognitive attributes in the TIMSS 2015 assessment framework. Through an analysis of their attribute questionnaires, the Interpretive structural modeling (ISM) method is used to construct a five-level mathematical cognitive model. The model is then revised through oral reports and expert interviews, resulting in a final cognitive model ranging from “memorize” to “justify”. The cognitive model describes the relationship between different attributes in detail, enabling the development of adaptive systems and aiding in the diagnosis of students’ cognitive development and learning paths in mathematics. © 2023 by the authors.;Article;10.3390/bs13050406;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160247713&doi=10.3390%2fbs13050406&partnerID=40&md5=30aea551f1919e538eab8e82717304f9;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"adaptive learning system; cognitive model; interpretive structural modeling; mathematical learning";Evaluación/Predicción
Learning Factors for TIMSS Math Performance Evidenced Through Machine Learning in the UAE;Nadaf, Ali and Monroe, Samantha and Chandran, Sarath and Miao, Xin;Lecture Notes on Data Engineering and Communications Technologies;2023;Scopus;47 – 66;154;Understanding how the UAE K12 education system performs with data-driven evidence is key to inform better policy making to support UAE vision to upskill human capital growth for its economic transformation. In this study, we investigate the potential of using machine learning techniques to understand key learning factors contributing to UAE student math performance on the TIMSS 2019 assessment. Due to the fact that learning factors co-exist and interact with one another, we explore the SHapley Additive exPlanations (SHAP) approach to explain the complexity of the model. The results highlight the importance and contributions of each learning factor and uncover the relationships between the learning factors. Understanding key learning factors and identifying evidence-based intervention opportunities will help policymakers with informed education intervention designs to improve student mathematics learning, in order to improve UAE student TIMSS math performance over the long run. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.;Book chapter;10.1007/978-981-19-8040-4_4;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145773803&doi=10.1007%2f978-981-19-8040-4_4&partnerID=40&md5=a01467002c9db9a708b1ead17d0746ef;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"Learning factor analysis; Machine learning; SHAP values; TIMSS 2019; UAE K12 Education";Evaluación/Predicción
Design and Implementation of an Educational Game for Teaching Artificial Intelligence to High School Students;Wang, Ning and Montgomery, Ryan and Greenwald, Eric and Leitner, Maxyn;31st International Conference on Computers in Education, ICCE 2023 - Proceedings;2023;Scopus;579 – 588;1;Artificial intelligence (Al) is becoming ubiquitous in our daily lives. In more and more fields, Al systems are transforming how knowledge is constructed, discoveries are realized, and how solutions are developed and tested. These changes have profound implications for the future workforce and citizenry. Yet, learning Al remains a niche subject largely reserved for advanced post-secondary educational contexts. While there is growing attention to broadening Al educational opportunities and, especially, to providing learning experiences for younger students, relatively little is currently known about how to most effectively provide Al education to K-12 (kindergarten through 12th grade) students. In this paper, we discuss the design and present findings from an implementation study of an educational game for high-school Al education called ARIN-561. Drawing on an integrated analysis of gameplay log data, pre/post knowledge, and disposition surveys for nearly 1.000 high school students, we present findings on the efficacy of the educational game and its constituent activities in advancing Al learning goals. We explore possible interactions between learning outcomes, incoming math knowledge, prior gaming experience, and other factors that can inform future learning design and shed light on what can position youth for success in game-based Al learning experiences. © 2023 Asia-Pacific Society for Computers in Education.;Conference paper;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181534746&partnerID=40&md5=431eae38bd1574c95c893894948e453a;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"educational game; K-12 Al education; youth Al education";Didactic Activities
A multimodal platform to teach mathematics to students with vision-impairment;Jariwala, Abhishek and Marghitu, Daniela and Chapman, Richard;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2021;Scopus;109 – 117;12769 LNCS;The advancements in Artificial Intelligence (AI) technologies in the last decade have led many developers, universities, and researchers to invest in the research and development of digital teaching platforms. This paper compares existing features implemented in the first prototype and provides visually impaired high-school students with a system to learn and practice mathematical problems. This project describes possibilities provided by open-source APIs such as Natural Language Toolkit (NLTK) and shows how to implement them to make education universal and accessible. We aim to achieve this by introducing an open-source platform, which will provide a set of modules for personalized speech recognition and accessible online tutoring. The system is divided into two modules: First, an intelligent conversational agent to help students learn new mathematical concepts, which opens up possibilities of providing students with a personalized response. Second, a mathematical expression parser and evaluator to help the student practice mathematical questions. The implementation and development of the system shall open doors towards self-directed learning for visually impaired students. © Springer Nature Switzerland AG 2021.;Conference paper;10.1007/978-3-030-78095-1_10;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117919904&doi=10.1007%2f978-3-030-78095-1_10&partnerID=40&md5=cd63bc4a7390e75e159f6ab27a4126d5;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"Accessibility; High school mathematics; Natural Language Processing (NLP) with Python; Natural Language Toolkit (NLTK); Vision-impairment";Didactic Activities
Developing computational thinking teaching strategies to model pandemics and containment measures;Araya, Roberto and Isoda, Masami and Moris, Johan van der Molen;International Journal of Environmental Research and Public Health;2021;Scopus;;18;COVID-19 has been extremely difficult to control. The lack of understanding of key as-pects of pandemics has affected virus transmission. On the other hand, there is a demand to incor-porate computational thinking (CT) in the curricula with applications in STEM. However, there are still no exemplars in the curriculum that apply CT to real-world problems such as controlling a pandemic or other similar global crises. In this paper, we fill this gap by proposing exemplars of CT for modeling the pandemic. We designed exemplars following the three pillars of the framework for CT from the Inclusive Mathematics for Sustainability in a Digital Economy (InMside) project by Asia-Pacific Economic Cooperation (APEC): algorithmic thinking, computational modeling, and machine learning. For each pillar, we designed a progressive sequence of activities that covers from elementary to high school. In an experimental study with elementary and middle school students from 2 schools of high vulnerability, we found that the computational modeling exemplar can be implemented by teachers and correctly understood by students. We conclude that it is feasible to introduce the exemplars at all grade levels and that this is a powerful example of Science Technol-ogy, Engineering, and Mathematics (STEM) integration that helps reflect and tackle real-world and challenging public health problems of great impact for students and their families. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.;Article;10.3390/ijerph182312520;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119924045&doi=10.3390%2fijerph182312520&partnerID=40&md5=667a1ade1ad760e91be404106e43632c;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"COVID-19; computational thinking; computational modeling; lesson study";Pensamiento Computacional
Predicting Students' State Examination Results based on Previous Grades and Demographics;Pentel, Avar and Kaiva, Lisanne-Liis;IEEE;2020;Web Of Science;377--382;;All Estonia's upper-secondary school students have three mandatory final state examinations - in mathematics, Estonian language and foreign language. We used data obtained from one school in order to predict student's final examination scores based on previous grades and demographic data. Our aim was to find most important factors that contribute positively to final results and vice versa. Machine learning package Weka was used to build predictive models and with all tested attribute sets we got accuracy over 80\% on classification. On continuous models we got mean absolute error close or less to 10, when range of test result was 0-100 points. Most of our attributes were subject grades on scale 1-5, and therefore, as we limited our testing sample with one school only, it gave interesting insights into how some subjects and teachers do contribute to final test results. And, surprisingly, it turned out, that for some test result, most significant predictor was negatively correlated to the result. It means that having bad grades in some subjects was a good predictor of success in final test. Besides being a useful tool for students who want to estimate possible test results beforehand, it is also a useful tool for measuring teachers' contributions and relationships between different subjects.;Article;;;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"learning analytics; machine learning; final test result prediction.";Analítica/EDM
SVM-CLASSIFICATION BASED ON THE MULTI-OBJECTIVE OPTIMIZATION IN THE EDUCATIONAL SPHERE'S PROBLEMS;Demidova, L. A. and Egin, M. M. and Mikhailov, A. A. and Rusakov, A. M. and Sokolova, Y. S.;The European Proceedings of  Social & Behavioural Sciences;2017;Web Of Science;84--94;33;"The aspects of the multi-objective optimization in the development of the SVM classifiers has been considered. The NSGA-II has been used to provide the simultaneous search for the optimal values of the classification quality indicators chosen from the such classification quality indicators as total accuracy, completeness, sensitivity, specificity, F-1-measure and, also, the supports vectors number. The program which allows comparing the SVM classifiers and the values of the classification quality indicators found by the NSGA-II and choose the best ones has been developed. Approbation of the developed program on the real datasets taken from the Statlog project and the UCI Machine Learning Repository has confirmed the efficiency of the developed tools of the data analysis with application of various combinations of the classification quality indicators. Also, the program has been applied to predict the success of passing of the unified state examination (USE) on ""Russian language"" and ""Mathematics"" disciplines, which are obligatory to delivery for obtaining the certificate about the secondary education. A herewith, the poll results of pupils of the graduation classes of school, which reflect the different personal features, family features, etc., before passing the USE were used to create the training dataset. The analysis of the experimental results confirms the efficiency of the SVM classifiers for the prediction problem solution of the USE success on ""Russian language"" and ""Mathematics"" disciplines. ";Conference paper;10.15405/epsbs.2017.12.9;;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;SVM classifiergenetic algorithmmulti-objective optimizationNSGA-I;Evaluación/Predicción
Student Performance Predictor using Multiclass Support Vector Classification Algorithm;Athani, Suhas S. and Kodli, Sharath A. and Banavasi, Mayur N. and Hiremath, P. G. Sunitha;IEEE;2017;Web Of Science;341--346;;Educational data mining provides the process of applying different data mining tools and techniques to analyze and visualize the data of an institution and can be used to discover a unique pattern of students' academic performance. Secondary schools are increasing rapidly from past years and progress of the institution can be measured based on student's success and failure rates. Failure rates can be measured in terms of a core subject such as mathematics which has been considered in this proposed system. Real data was collected using school reports and questionnaire method by the Portugal school which has been used for the project. The students will be classified according to the grades assigned for the range of marks scored by them. This involves classifying the students into five levels of grading system starting from grade 'A' to grade 'F' where grade 'A' represents the student getting the highest marks, grade 'B' being the second highest, grade 'C' being third, grade 'D' being the fourth and the grade 'F' which implies that the student has failed. To carry out this type of classification many machine learning algorithms can be used to implement it. Comparison was made between the algorithms like Multiclass Support Vector Machine and Neural Networks using the Weka tool. Based on the analysis carried out Multiclass Support Vector Machine showed prominent accuracy. The Multiclass Support Vector Machine is implemented on the basis of one-to-rest strategy use of class labels which is primarily an extension of linear Support Vector Machine. In order to get appropriate results in terms of the accuracy of the model, parameters like 'C' and 'Gamma' is tuned while implementing Multiclass Support Vector Machine. The result gives a good predictive accuracy based on the grades that are provided by the school. The accuracy of prediction made by Support Vector Machine Classifier is determined by using K fold cross validation, according to which the accuracy is 89\%.;Article;;;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;Educational data miningMulticlass Support Vector MachineNeural Networks;Pensamiento Computacional
